Midland Valley,4DMove2.0 v1.0
Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Object Measurements,Object Measurements,Container
Integer,Text,Text,Text,Text,Color,Boolean,Boolean,Boolean,Real,Real,Integer
GeoId,Name,Object Type,Section,Horizon,Colour,InTime,Fault,closed,length,Horizontal length,line_style
#7F603F,#FFFFFF,#ACFF7F,#1F3F26,#FFFFFF,#FFE27F,#FFFFFF,#FFFFFF,#FFFFFF,#697F3F,#447F3F,#FFFFFF
,,,,,,,,,metre,metre,
dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimension,dimension,dimensionless
106,Aa,Line,Map1_Tafel_25_Section_8_Emscher_West_Ruhrgebit_G1,Aa,#e6a748,0,,,611.997608,594.322153,4
225,La,Line,Map1_Tafel_25_Section_8_Emscher_West_Ruhrgebit_G1,La,#aaaaff,0,,,51.017687,50.097126,1
808,T,Line,Map1_Tafel_25_Section_8_Emscher_West_Ruhrgebit_G1,T,#defd64,0,,,1644.895639,1611.689690,4
809,Q,Line,Map1_Tafel_25_Section_8_Emscher_West_Ruhrgebit_G1,Q,#00bb00,0,,,894.246143,873.841595,4
813,Q,Line,Map1_Tafel_25_Section_8_Emscher_West_Ruhrgebit_G1,Q,#00bb00,0,,,131.294630,130.554023,4
814,Q,Line,Map1_Tafel_25_Section_8_Emscher_West_Ruhrgebit_G1,Q,#00bb00,0,,,227.015876,224.337174,1
815,Q,Line,Map1_Tafel_25_Section_8_Emscher_West_Ruhrgebit_G1,Q,#00bb00,0,,,461.151325,449.461431,1
816,Q,Line,Map1_Tafel_25_Section_8_Emscher_West_Ruhrgebit_G1,Q,#00bb00,0,,,330.603849,312.303165,4
817,Q,Line,Map1_Tafel_25_Section_8_Emscher_West_Ruhrgebit_G1,Q,#00bb00,0,,,72.052889,55.436081,1
935,F,Line,Map1_Tafel_25_Section_8_Emscher_West_Ruhrgebit_G1,F,#00ff00,0,,,1853.036318,1816.042786,1
