Midland Valley,4DMove2.0 v1.0
Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Object Measurements,Object Measurements,Container
Integer,Text,Text,Text,Text,Color,Boolean,Boolean,Boolean,Real,Real,Integer
GeoId,Name,Object Type,Section,Horizon,Colour,InTime,Fault,closed,length,Horizontal length,line_style
#7F603F,#FFFFFF,#3F7F7E,#745FBF,#FFFFFF,#FFE27F,#FFFFFF,#FFFFFF,#FFFFFF,#7FF5FF,#FF857F,#FFFFFF
,,,,,,,,,metre,metre,
dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimension,dimension,dimensionless
15,Zo8,Line,Map1_Tafel_24_Section_2_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,1153.204733,1132.512864,1
18,Zo8,Line,Map1_Tafel_24_Section_2_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,789.046959,777.205681,1
19,Zo8,Line,Map1_Tafel_24_Section_2_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,753.252015,732.744369,1
20,Zo8,Line,Map1_Tafel_24_Section_2_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,815.762250,737.867815,1
21,Gu,Line,Map1_Tafel_24_Section_2_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,1298.121280,1272.931684,1
22,Gu,Line,Map1_Tafel_24_Section_2_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,996.478502,970.673669,1
23,Gu,Line,Map1_Tafel_24_Section_2_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,897.736151,864.974687,1
24,Gu,Line,Map1_Tafel_24_Section_2_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,495.536018,444.167926,1
25,Gu,Line,Map1_Tafel_24_Section_2_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,91.723139,81.932857,1
