,Horizon,length_level2,length_level3,length_level4
0,T,0.0,1200.145714,0.0
1,Q,1118.705345,1156.182924,0.0
2,N,0.0,0.0,0.0
3,F,0.0,2756.675086,0.0
4,F-2,0.0,0.0,0.0
5,Zo2,6499.3533370000005,0.0,0.0
6,Zo8,4327.855931,2119.149495,1550.391668
7,La,3171.2899429999998,0.0,362.95040100000006
8,Gu,2748.6278350000002,3258.173029,3100.0585570000003
9,Ma,1147.032369,4529.601786,3517.062445
10,Hu,855.202094,4381.629604,4307.814264
11,Ka,483.918936,3257.09847,5930.8227879999995
12,Er,746.5581,348.673755,8725.826335
13,Pr,932.5105,0.0,9611.851547
14,Di,1014.571964,151.641838,9707.415236
15,So,1179.879645,0.0,9813.586291
16,Gi5,2135.032059,438.07394,10342.074068
17,Fi,3038.062212,10593.444759,797.825285
18,Ge1,0.0,0.0,0.0
19,Kr-2,0.0,0.0,0.0
20,Mg,869.305813,4499.575599,9765.295519
21,Sb,654.039936,378.855591,11996.380292
22,Hf,337.58180300000004,0.0,8783.798125
23,Wb,0.0,0.0,9098.20162
24,Gs,0.0,0.0,0.0
