,Horizon,length_level2,length_level3,length_level4
0,T,0.0,1291.720726,0.0
1,Q,1267.658606,551.121432,194.084281
2,N,520.798185,240.931702,279.31339
3,F,0.0,2140.692659,341.920659
4,F-2,0.0,0.0,0.0
5,Zo2,3101.789594,2045.182685,671.4046089999999
6,Zo8,3582.850037,1771.374241,1532.789131
7,La,2351.918455,354.001806,884.8317910000001
8,Gu,3901.593168,1138.623286,3974.0067520000002
9,Ma,2667.190667,1661.834395,4815.9728319999995
10,Hu,1539.899748,2104.890005,5594.3549
11,Ka,1506.903886,2005.045976,6236.681471
12,Er,370.69306,1146.754246,8416.444653
13,Pr,436.512101,109.67298,10034.232067
14,Di,429.211972,0.0,10378.028425
15,So,408.078274,0.0,10454.165837
16,Gi5,2171.553695,0.0,10909.585867999998
17,Fi,2177.4346640000003,834.7460679999999,11301.273779
18,Ge1,0.0,0.0,0.0
19,Kr-2,0.0,0.0,0.0
20,Mg,2145.141541,3079.37808,10580.608326
21,Sb,360.54179,1332.992406,13126.073021
22,Hf,0.0,0.0,10334.610886
23,Wb,0.0,0.0,10491.279892999999
24,Gs,0.0,0.0,4214.657182
