Midland Valley,4DMove2.0 v1.0
Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Object Measurements,Object Measurements,Container
Integer,Text,Text,Text,Text,Color,Boolean,Boolean,Boolean,Real,Real,Integer
GeoId,Name,Object Type,Section,Horizon,Colour,InTime,Fault,closed,length,Horizontal length,line_style
#7F603F,#FFFFFF,#7FB5FF,#3F3A1F,#FFFFFF,#FFE27F,#FFFFFF,#FFFFFF,#FFFFFF,#8EBF5F,#7FF9FF,#FFFFFF
,,,,,,,,,metre,metre,
dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimension,dimension,dimensionless
2783,Fi,Line,Map1_Tafel_25_Section_7_Emscher_West_Ruhrgebit_G1_Copy_222,Fi,#aaaa00,0,,,9309.305880,8408.286187,2
2784,Fi,Line,Map1_Tafel_25_Section_7_Emscher_West_Ruhrgebit_G1_Copy_222,Fi,#aaaa00,0,,,1343.067914,1158.187735,2
39978,Ground surface,Line,Map1_Tafel_25_Section_7_Emscher_West_Ruhrgebit_G1_Copy_222,Ground surface,#aa5500,0,,,19431.393830,19414.938141,1
39979,Aa,Line,Map1_Tafel_25_Section_7_Emscher_West_Ruhrgebit_G1_Copy_222,Aa,#e6a748,0,,,253.292194,241.948220,4
39980,T,Line,Map1_Tafel_25_Section_7_Emscher_West_Ruhrgebit_G1_Copy_222,T,#defd64,0,,,1291.720726,1263.487168,4
39981,Q,Line,Map1_Tafel_25_Section_7_Emscher_West_Ruhrgebit_G1_Copy_222,Q,#00bb00,0,,,1267.658606,1250.635906,1
39982,Q,Line,Map1_Tafel_25_Section_7_Emscher_West_Ruhrgebit_G1_Copy_222,Q,#00bb00,0,,,194.084281,191.819034,2
39983,Q,Line,Map1_Tafel_25_Section_7_Emscher_West_Ruhrgebit_G1_Copy_222,Q,#00bb00,0,,,551.121432,530.813770,4
39984,F,Line,Map1_Tafel_25_Section_7_Emscher_West_Ruhrgebit_G1_Copy_222,F,#00ff00,0,,,255.970570,247.979679,4
