,Horizon,length_level2,length_level3,length_level4
0,T,245.709153,284.346495,1572.5210009999998
1,Q,453.67247299999997,0.0,1825.2280059999998
2,N,0.0,0.0,0.0
3,F,0.0,301.492369,2258.983784
4,F-2,0.0,0.0,0.0
5,Zo2,6138.027811000001,0.0,2492.819611
6,Zo8,6043.6290579999995,0.0,2498.701196
7,La,453.596591,0.0,0.0
8,Gu,4252.129855,1992.440783,3240.132539
9,Ma,3896.570893,344.357101,5557.212092
10,Hu,4171.028923,4795.348768000001,4157.908923
11,Ka,4341.595784,6103.384097,4716.406578
12,Er,6007.975087,4932.894087,5080.811674
13,Pr,7267.274880999999,1915.419694,9270.821348
14,Di,7639.71794,1751.439766,9509.935596
15,So,10304.167363999999,354.21859,8468.948844999999
16,Gi5,4183.790173,2064.018523,12556.916148
17,Fi,1287.099015,3093.2882959999997,14537.985559
18,Ge1,0.0,0.0,0.0
19,Kr-2,0.0,0.0,0.0
20,Mg,0.0,2451.602393,16112.405548
21,Sb,0.0,0.0,17910.502634
22,Hf,0.0,0.0,10773.942868
23,Wb,0.0,0.0,9937.283496
24,Gs,0.0,0.0,0.0
