Midland Valley,4DMove2.0 v1.0
Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Object Measurements,Object Measurements,Container
Integer,Text,Text,Text,Text,Color,Boolean,Boolean,Boolean,Real,Real,Integer
GeoId,Name,Object Type,Section,Horizon,Colour,InTime,Fault,closed,length,Horizontal length,line_style
#7F603F,#FFFFFF,#3F6F7F,#3F2A1F,#FFFFFF,#FFE27F,#FFFFFF,#FFFFFF,#FFFFFF,#7F403F,#CEFF7F,#FFFFFF
,,,,,,,,,metre,metre,
dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimension,dimension,dimensionless
196,Hu,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,73.691311,58.677137,4
201,Ma,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,31.351611,30.769914,4
206,Ground surface,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ground surface,#aa5500,0,,,18756.161558,18281.622952,1
510,Ha,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ha,#ff0080,0,,,350.046244,348.391558,2
511,Ed,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ed,#fa4221,0,,,953.728507,944.225448,2
512,Aa,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Aa,#e6a748,0,,,1935.173335,1908.826640,2
513,T,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,T,#defd64,0,,,2696.620391,2652.938997,2
514,Q,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Q,#00bb00,0,,,2473.081449,2438.581152,2
515,Q,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Q,#00bb00,0,,,522.721919,483.413956,2
516,F,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,F,#00ff00,0,,,2809.563227,2756.112649,2
