Midland Valley,4DMove2.0 v1.0
Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Object Measurements,Object Measurements,Container
517,F,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,F,#00ff00,0,,,572.082029,456.301492,2
518,Zo2,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,2518.225662,2476.913557,2
519,Zo2,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,891.036346,764.504838,2
520,Zo2,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,312.665148,242.659468,1
521,Zo2,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,302.984420,300.943425,1
522,Zo2,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,603.291118,600.817824,4
582,Zo8,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,2308.437810,2271.515856,2
603,Zo8,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,914.185563,842.586379,4
604,Zo8,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,2038.626438,1911.315839,2
646,Gu,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,3572.771396,3397.727503,4
647,Gu,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,399.695791,374.952347,4
648,Gu,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,427.777635,427.232961,4
649,Gu,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,579.320707,561.077832,4
662,Gu,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,1119.379550,1104.229260,1
663,Gu,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,784.350738,760.721128,4
681,Gu,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,487.585814,359.446799,4
682,La,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,La,#aaaaff,0,,,542.032134,527.254465,4
683,La,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,La,#aaaaff,0,,,207.774335,165.903338,4
686,Ma,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,3510.771271,3354.497458,2
687,Ma,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,521.625529,467.784569,1
688,Ma,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,456.911064,455.094097,1
689,Ma,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,218.316067,203.848008,1
690,Ma,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,1336.741536,1273.471843,1
691,Ma,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,1458.403151,1426.529679,1
692,Ma,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,994.816321,810.715120,1
693,Hu,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,3414.346558,3291.969792,2
694,Hu,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,734.851978,652.703122,1
695,Hu,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,121.051118,120.989165,1
696,Hu,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,404.227796,402.432979,1
697,Hu,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,453.964588,401.028991,2
698,Hu,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,865.034389,838.588177,1
699,Hu,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,1236.559926,1233.797693,4
700,Hu,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,587.060014,574.135504,1
701,Hu,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,328.678283,313.629823,4
702,Hu,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,1102.777450,902.182559,1
703,Ka,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,3646.123526,3483.892421,2
704,Ka,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,874.232490,834.383159,1
705,Ka,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,289.432766,211.797736,4
706,Ka,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,573.457668,509.107001,1
707,Ka,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,676.583361,671.548956,1
708,Ka,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,504.569511,503.529140,4
709,Ka,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,727.203769,720.423251,1
711,Ka,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,1011.258838,990.638457,4
712,Ka,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,989.521412,805.217765,1
714,Hu-1,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Hu-1,#aaffff,0,,,193.684849,160.770722,1
716,Hu-1,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Hu-1,#aaffff,0,,,95.597977,94.542167,1
717,Hu-1,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Hu-1,#aaffff,0,,,130.313482,120.334394,1
718,Ka-1,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ka-1,#aaaa00,0,,,895.332853,870.259265,1
720,Ka-1,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ka-1,#aaaa00,0,,,160.727663,158.064211,1
721,Ka-1,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ka-1,#aaaa00,0,,,742.071838,581.017209,1
722,Er,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Er,#ff5500,0,,,8386.489220,8008.334527,4
723,Er,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Er,#ff5500,0,,,958.021555,803.181107,1
724,Pr,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,5280.737243,4909.209817,2
725,Pr,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,647.049655,636.859814,1
726,Pr,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,2840.143812,2803.359253,4
727,Pr,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,621.463431,443.123791,4
728,Di,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,8272.998314,7828.554529,2
729,Di,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,507.857520,501.197849,1
730,Di,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,176.953705,122.331084,4
733,Di,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,488.918644,364.650775,4
734,Di,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,417.559318,340.618373,3
735,So,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,8299.154275,7850.248470,2
736,So,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,466.975699,462.372479,1
737,So,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,423.393575,301.420424,4
738,So,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,334.696585,267.137331,4
741,So,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,855.347821,771.737551,3
742,Gi5,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,6352.627196,5837.472488,2
743,Gi5,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,633.366440,627.653332,1
744,Gi5,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,378.154751,219.145794,4
746,Fi,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Fi,#aaaa00,0,,,6357.827194,5756.301853,2
747,Fi,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Fi,#aaaa00,0,,,1149.223266,933.777663,1
748,Fi,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Fi,#aaaa00,0,,,709.595720,706.921921,1
751,Mg,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Mg,#ffaa00,0,,,917.780994,658.731123,2
752,Mg,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Mg,#ffaa00,0,,,4562.638661,4281.556401,2
753,Mg,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Mg,#ffaa00,0,,,1420.600837,1249.309583,1
755,Mg,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Mg,#ffaa00,0,,,586.003230,535.204810,4
756,Sb,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,0,,,322.444590,260.475306,2
757,Sb,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,0,,,234.258585,166.355105,2
758,Sb,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,0,,,5231.294838,4904.790471,2
759,Sb,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,0,,,485.243377,424.799229,1
760,Sb,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,0,,,703.600021,391.375179,2
761,Hf,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Hf,#00557f,0,,,3455.699002,2821.292659,2
762,Hf,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Hf,#00557f,0,,,749.290861,611.429368,2
763,Hf,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Hf,#00557f,0,,,724.839120,482.640526,2
764,Wb,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Wb,#00aaff,0,,,1549.474912,1077.710896,2
765,Sb,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,0,,,98.483814,60.512183,1
766,Sb,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,0,,,443.981451,368.038757,2
767,Wb,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Wb,#00aaff,0,,,3638.032235,2977.155242,2
768,Gs,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Gs,#55007f,0,,,6910.774352,5084.580209,2
769,Gs,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Gs,#55007f,0,,,879.340838,793.773542,2
770,Zieg,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Zieg,#dfd27b,0,,,2254.028135,1849.413973,2
771,Zieg,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Zieg,#dfd27b,0,,,344.736492,325.418450,2
772,Zieg,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Zieg,#dfd27b,0,,,262.539888,226.091957,2
773,Hf,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Hf,#00557f,0,,,219.828151,127.523713,1
774,Hf,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Hf,#00557f,0,,,1050.896803,834.344417,2
775,Hf,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Hf,#00557f,0,,,487.671051,435.217769,2
776,Wb,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Wb,#00aaff,0,,,1831.734610,1372.269003,2
777,Wb,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Wb,#00aaff,0,,,834.896867,731.087823,2
780,Pr,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,208.329086,170.789467,3
783,Gu,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,556.103367,556.057556,1
786,Ma,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,323.126863,322.312829,4
789,Gu,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,229.233277,220.457730,4
792,Gi5,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,684.823973,665.351003,1
2884,Ka-1,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Ka-1,#aaaa00,0,,,35.418809,12.118840,4
2886,Gi5,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,69.849074,46.266465,4
2887,Gi5,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,235.159353,172.387807,3
2922,Mg,Line,Map1_Tafel_24_Section_4_Emscher_West_Ruhrgebit_G1,Mg,#ffaa00,0,,,194.315329,112.519377,4
