,Horizon,length_level2,length_level3,length_level4
0,T,0.0,2080.925951,0.0
1,Q,0.0,4294.524219999999,380.665574
2,N,1190.265834,0.0,328.584291
3,F,970.1604070000001,3421.121902,2189.138831
4,F-2,0.0,0.0,0.0
5,Zo2,0.0,3102.383077,3259.859496
6,Zo8,1274.492323,2094.870872,4739.509868
7,La,689.574926,1350.770358,0.0
8,Gu,2007.9768709999998,0.0,7238.973662
9,Ma,1386.2843050000001,85.393179,7959.9140689999995
10,Hu,771.513449,272.348173,8499.582768
11,Ka,142.322314,0.0,9301.100728000001
12,Er,0.0,279.506046,9307.555718
13,Pr,495.860816,5613.766931,4422.376305
14,Di,193.165396,9875.663328999999,753.218133
15,So,1077.755937,10133.849528,685.043044
16,Gi5,2140.788246,10774.684537,481.441266
17,Fi,4652.113182,10493.355539,527.32254
18,Ge1,0.0,0.0,0.0
19,Kr-2,0.0,0.0,0.0
20,Mg,2290.413488,5081.308300000001,8244.748398
21,Sb,2019.134044,3156.65116,6952.7708999999995
22,Hf,177.172968,756.830324,9470.837112000001
23,Wb,0.0,150.04379,10420.430479
24,Gs,0.0,0.0,4005.125005
