Midland Valley,4DMove2.0 v1.0
Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Object Measurements,Object Measurements,Container
Integer,Text,Text,Text,Text,Color,Boolean,Boolean,Boolean,Real,Real,Integer
GeoId,Name,Object Type,Section,Horizon,Colour,InTime,Fault,closed,length,Horizontal length,line_style
#7F603F,#FFFFFF,#5F9ABF,#3F7F6B,#FFFFFF,#FFE27F,#FFFFFF,#FFFFFF,#FFFFFF,#1F3F37,#5FBF64,#FFFFFF
,,,,,,,,,metre,metre,
dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimension,dimension,dimensionless
114,Ground surface,Line,Map1_Tafel_25_Section_9_Emscher_West_Ruhrgebit_G1,Ground surface,#aa5500,0,,,19347.351438,18887.074328,1
2001,Ha,Line,Map1_Tafel_25_Section_9_Emscher_West_Ruhrgebit_G1,Ha,#ff0080,0,,,1444.008129,1391.556953,2
2002,Ed,Line,Map1_Tafel_25_Section_9_Emscher_West_Ruhrgebit_G1,Ed,#fa4221,0,,,1578.655277,1478.778710,2
2003,Aa,Line,Map1_Tafel_25_Section_9_Emscher_West_Ruhrgebit_G1,Aa,#e6a748,0,,,1798.201781,1607.838427,2
2004,T,Line,Map1_Tafel_25_Section_9_Emscher_West_Ruhrgebit_G1,T,#defd64,0,,,1936.597481,1715.452458,4
2005,T,Line,Map1_Tafel_25_Section_9_Emscher_West_Ruhrgebit_G1,T,#defd64,0,,,144.328470,115.296134,4
2006,Q,Line,Map1_Tafel_25_Section_9_Emscher_West_Ruhrgebit_G1,Q,#00bb00,0,,,1989.490991,1802.974022,4
2007,Q,Line,Map1_Tafel_25_Section_9_Emscher_West_Ruhrgebit_G1,Q,#00bb00,0,,,233.454580,186.491302,4
2008,Q,Line,Map1_Tafel_25_Section_9_Emscher_West_Ruhrgebit_G1,Q,#00bb00,0,,,380.665574,376.948885,2
