,Horizon,length_level2,length_level3,length_level4
0,T,0.0,0.0,0.0
1,Q,0.0,789.437427,1095.673285
2,N,0.0,0.0,0.0
3,F,3266.5464070000003,1895.773848,2084.380878
4,F-2,0.0,0.0,0.0
5,Zo2,3899.437926,3462.87573,1628.515237
6,Zo8,4794.493691000001,3223.888812,1771.4583320000002
7,La,0.0,0.0,0.0
8,Gu,2611.190645,1432.749844,5775.152827
9,Ma,511.604265,3905.1585059999998,5297.39605
10,Hu,1155.461356,3301.629359,5687.379629
11,Ka,2547.810607,2137.071486,6410.996458
12,Er,976.215318,2488.653543,8086.564036
13,Pr,3025.797496,3143.057925,11148.912102
14,Di,4095.698713,3096.452061,11155.969736
15,So,7008.100811,1985.495977,10593.896826
16,Gi5,2144.484851,3368.354128,15212.870053
17,Fi,2313.904827,1987.357393,16643.220131000002
18,Ge1,0.0,0.0,0.0
19,Kr-2,0.0,0.0,0.0
20,Mg,1124.561317,1460.042247,16534.650774
21,Sb,0.0,2205.559187,9411.970223
22,Hf,0.0,0.0,11216.254911
23,Wb,0.0,0.0,10878.447452
24,Gs,0.0,0.0,3192.775999
