,Horizon,length_level2,length_level3,length_level4
0,T,0.0,962.435434,0.0
1,Q,776.732454,1743.6554780000001,0.0
2,N,0.0,0.0,0.0
3,F,0.0,2934.56058,0.0
4,F-2,0.0,0.0,0.0
5,Zo2,3154.07292,3540.9557569999997,0.0
6,Zo8,4724.157407,3377.621405,0.0
7,La,4665.853489,385.342451,419.053496
8,Gu,3348.929999,3979.696011,1996.223977
9,Ma,1378.521083,4267.162955,3641.9410159999998
10,Hu,1539.311694,5051.508105,2769.143796
11,Ka,2447.960104,2055.696063,5195.629663000001
12,Er,2273.930528,1371.940291,6131.0918329999995
13,Pr,1184.167731,125.939178,9038.485462
14,Di,0.0,1242.538786,9404.008609
15,So,1224.331951,372.68000700000005,9423.762751
16,Gi5,414.537914,817.306512,9809.153330000001
17,Fi,993.989204,472.153411,9117.943486
18,Ge1,0.0,0.0,0.0
19,Kr-2,0.0,0.0,0.0
20,Mg,0.0,825.817971,8081.882037
21,Sb,0.0,0.0,7784.439386999999
22,Hf,0.0,0.0,1585.890738
23,Wb,0.0,0.0,1460.723215
24,Gs,0.0,0.0,0.0
