Midland Valley,4DMove2.0 v1.0
Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Object Measurements,Object Measurements,Container
Integer,Text,Text,Text,Text,Color,Boolean,Boolean,Boolean,Real,Real,Integer
GeoId,Name,Object Type,Section,Horizon,Colour,InTime,Fault,closed,length,Horizontal length,line_style
#7F603F,#FFFFFF,#A3FF7F,#5FBF7D,#FFFFFF,#FFE27F,#FFFFFF,#FFFFFF,#FFFFFF,#2A3F1F,#7FFF9F,#FFFFFF
,,,,,,,,,metre,metre,
dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimension,dimension,dimensionless
527,Ground surface,Line,Map1_Tafel_24_Section_3_Emscher_West_Ruhrgebit_G1,Ground surface,#aa5500,0,,,10571.508350,10312.130889,1
531,Aa,Line,Map1_Tafel_24_Section_3_Emscher_West_Ruhrgebit_G1,Aa,#e6a748,0,,,2480.386958,2436.722814,2
532,T,Line,Map1_Tafel_24_Section_3_Emscher_West_Ruhrgebit_G1,T,#defd64,0,,,2393.747500,2357.221954,2
533,T,Line,Map1_Tafel_24_Section_3_Emscher_West_Ruhrgebit_G1,T,#defd64,0,,,532.535627,503.501291,1
534,Q,Line,Map1_Tafel_24_Section_3_Emscher_West_Ruhrgebit_G1,Q,#00bb00,0,,,2171.954855,2142.543119,2
535,F,Line,Map1_Tafel_24_Section_3_Emscher_West_Ruhrgebit_G1,F,#00ff00,0,,,2446.233575,2407.363455,2
566,F,Line,Map1_Tafel_24_Section_3_Emscher_West_Ruhrgebit_G1,F,#00ff00,0,,,544.015780,528.577860,1
567,F,Line,Map1_Tafel_24_Section_3_Emscher_West_Ruhrgebit_G1,F,#00ff00,0,,,337.867137,307.356474,4
568,F,Line,Map1_Tafel_24_Section_3_Emscher_West_Ruhrgebit_G1,F,#00ff00,0,,,518.847848,418.610069,1
569,F,Line,Map1_Tafel_24_Section_3_Emscher_West_Ruhrgebit_G1,F,#00ff00,0,,,314.464988,313.497274,4
