Midland Valley,4DMove2.0 v1.0
Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Object Measurements,Object Measurements,Container
Integer,Text,Text,Text,Text,Color,Boolean,Boolean,Boolean,Real,Real,Integer
GeoId,Name,Object Type,Section,Horizon,Colour,InTime,Fault,closed,length,Horizontal length,line_style
#7F603F,#FFFFFF,#5FA4BF,#FFB27F,#FFFFFF,#FFE27F,#FFFFFF,#FFFFFF,#FFFFFF,#BF6F5F,#B9FF7F,#FFFFFF
,,,,,,,,,metre,metre,
dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimension,dimension,dimensionless
2728,Mg,Line,Map1_Tafel_25_Section_11_Emscher_West_Ruhrgebit_G1,Mg,#ffaa00,0,,,8919.553472,7763.032424,2
2729,Mg,Line,Map1_Tafel_25_Section_11_Emscher_West_Ruhrgebit_G1,Mg,#ffaa00,0,,,7615.097302,5729.105464,2
2730,Mg,Line,Map1_Tafel_25_Section_11_Emscher_West_Ruhrgebit_G1,Mg,#ffaa00,0,,,1124.561317,929.697338,1
2731,Mg,Line,Map1_Tafel_25_Section_11_Emscher_West_Ruhrgebit_G1,Mg,#ffaa00,0,,,1460.042247,1267.727077,4
2732,Sb,Line,Map1_Tafel_25_Section_11_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,0,,,2205.559187,1792.339802,4
2733,Sb,Line,Map1_Tafel_25_Section_11_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,0,,,7438.039313,5582.768445,2
2736,Sb,Line,Map1_Tafel_25_Section_11_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,0,,,1973.930910,1554.356307,2
2737,Hf,Line,Map1_Tafel_25_Section_11_Emscher_West_Ruhrgebit_G1,Hf,#00557f,0,,,1667.146464,1285.609164,2
2738,Hf,Line,Map1_Tafel_25_Section_11_Emscher_West_Ruhrgebit_G1,Hf,#00557f,0,,,7476.082702,5671.046723,2
