Midland Valley,4DMove2.0 v1.0
Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Object Measurements,Object Measurements,Container
Integer,Text,Text,Text,Text,Color,Boolean,Boolean,Boolean,Real,Real,Integer
GeoId,Name,Object Type,Section,Horizon,Colour,InTime,Fault,closed,length,Horizontal length,line_style
#7F603F,#FFFFFF,#CEFF7F,#71BF5F,#FFFFFF,#FFE27F,#FFFFFF,#FFFFFF,#FFFFFF,#FF927F,#7F643F,#FFFFFF
,,,,,,,,,metre,metre,
dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimension,dimension,dimensionless
49,Di,Line,Map1_Tafel_24_Section_5_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,336.477733,197.068907,2
57,Di,Line,Map1_Tafel_24_Section_5_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,1242.538786,1098.831491,4
524,So,Line,Map1_Tafel_24_Section_5_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,1224.331951,1154.222519,1
525,So,Line,Map1_Tafel_24_Section_5_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,122.656647,86.439391,4
579,So,Line,Map1_Tafel_24_Section_5_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,90.243790,36.626836,4
580,So,Line,Map1_Tafel_24_Section_5_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,159.779570,113.692076,4
581,So,Line,Map1_Tafel_24_Section_5_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,209.453908,83.799164,2
685,Gi5,Line,Map1_Tafel_24_Section_5_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,417.479915,360.264134,2
731,Gi5,Line,Map1_Tafel_24_Section_5_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,307.999656,294.443964,1
732,Gi5,Line,Map1_Tafel_24_Section_5_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,817.306512,712.167617,4
