Midland Valley,4DMove2.0 v1.0
Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Object Measurements,Object Measurements,Container
Integer,Text,Text,Text,Text,Color,Boolean,Boolean,Boolean,Real,Real,Integer
GeoId,Name,Object Type,Section,Horizon,Colour,InTime,Fault,closed,length,Horizontal length,line_style
#7F603F,#FFFFFF,#94BF5F,#211F3F,#FFFFFF,#FFE27F,#FFFFFF,#FFFFFF,#FFFFFF,#5FBF97,#3F3C1F,#FFFFFF
,,,,,,,,,metre,metre,
dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimension,dimension,dimensionless
1072,Ground surface,Line,Map1_Tafel_24_Section_6_Emscher_West_Ruhrgebit_G1,Ground surface,#aa5500,0,,,15738.921430,15638.749094,1
1073,T,Line,Map1_Tafel_24_Section_6_Emscher_West_Ruhrgebit_G1,T,#defd64,0,,,1200.145714,1175.150579,4
1074,Aa,Line,Map1_Tafel_24_Section_6_Emscher_West_Ruhrgebit_G1,Aa,#e6a748,0,,,154.447678,147.421416,4
1075,Q,Line,Map1_Tafel_24_Section_6_Emscher_West_Ruhrgebit_G1,Q,#00bb00,0,,,691.650861,671.894517,4
1076,Q,Line,Map1_Tafel_24_Section_6_Emscher_West_Ruhrgebit_G1,Q,#00bb00,0,,,464.532063,441.424523,4
1077,Q,Line,Map1_Tafel_24_Section_6_Emscher_West_Ruhrgebit_G1,Q,#00bb00,0,,,1118.705345,1100.373070,1
1131,F,Line,Map1_Tafel_24_Section_6_Emscher_West_Ruhrgebit_G1,F,#00ff00,0,,,2425.128491,2381.725051,4
1132,F,Line,Map1_Tafel_24_Section_6_Emscher_West_Ruhrgebit_G1,F,#00ff00,0,,,331.546595,174.026757,4
1133,Zo2,Line,Map1_Tafel_24_Section_6_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,2240.720455,2197.766978,1
