,Horizon,length_level2,length_level3,length_level4
0,T,0.0,0.0,901.311756
1,Q,0.0,0.0,1620.694686
2,N,0.0,0.0,0.0
3,F,0.0,0.0,2576.38637
4,F-2,1604.6532889999999,0.0,0.0
5,Zo2,3348.060758,0.0,0.0
6,Zo8,3511.265957,0.0,0.0
7,La,0.0,0.0,0.0
8,Gu,4646.821743,0.0,0.0
9,Ma,4817.03,0.0,0.0
10,Hu,5103.070777,0.0,0.0
11,Ka,7414.180268,0.0,0.0
12,Er,7689.685668,0.0,0.0
13,Pr,4253.328943,0.0,4056.586811
14,Di,0.0,4275.444405,4212.8598
15,So,4302.38901,0.0,4427.451074
16,Gi5,4275.803803,0.0,5255.00568
17,Fi,2818.624906,1147.320642,6929.670166000001
18,Ge1,1243.6714200000001,0.0,80.650188
19,Kr-2,0.0,0.0,0.0
20,Mg,0.0,0.0,10762.097972
21,Sb,1733.20282,663.522648,8451.235776
22,Hf,0.0,0.0,2328.369524
23,Wb,621.68006,0.0,2463.317484
24,Gs,0.0,0.0,5854.227649
