Midland Valley,4DMove2.0 v1.0
Properties,Properties,Properties,Properties,Properties,Properties,,,Object Measurements,Object Measurements,Container
Integer,Text,Text,Text,Text,Color,,,Real,Real,Integer
GeoId,Name,Object Type,Section,Horizon,Colour,,,length,Horizontal length,line_style
#7F603F,#FFFFFF,#FFDF7F,#1F3F3F,#FFFFFF,#FFE27F,,,#3F527F,#7DBF5F,#FFFFFF
,,,,,,,,metre,metre,
dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,,,dimension,dimension,dimensionless
358,Hu,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Hu,#005500,,,230.605619,190.464926,1
359,Hu,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Hu,#005500,,,263.111432,251.043996,1
360,Hu,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Hu,#005500,,,804.608966,737.560032,1
361,Hu,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Hu,#005500,,,1255.273554,1014.255166,1
362,Hu,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Hu,#005500,,,554.610952,541.983668,1
363,Ka,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,,,1647.173823,1600.474157,2
365,Ka,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,,,1691.186622,1647.476237,1
366,Ka,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,,,1457.892325,1043.511742,1
367,Ka,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,,,390.998071,350.011417,1
368,Ka,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,,,449.994430,432.389836,1
372,Ka,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,,,2412.251688,2402.071335,1
373,Er,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Er,#ff5500,,,1475.881280,1441.019316,2
375,Er,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Er,#ff5500,,,3432.248555,2837.021251,1
376,Er,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Er,#ff5500,,,139.940758,125.788762,1
377,Er,Line,Map1_Tafel_24_Section_1_Emscher_West_Ruhrgebit_G1,Er,#ff5500,,,41.573829,36.247399,1
