Midland Valley,4DMove2.0 v1.0
Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Object Measurements,Object Measurements,Container
Integer,Text,Text,Text,Text,Color,Boolean,Boolean,Boolean,Real,Real,Integer
GeoId,Name,Object Type,Section,Horizon,Colour,InTime,Fault,closed,length,Horizontal length,line_style
#7F603F,#FFFFFF,#3D3F1F,#3F627F,#FFFFFF,#FFE27F,#FFFFFF,#FFFFFF,#FFFFFF,#7F713F,#5FAEBF,#FFFFFF
,,,,,,,,,metre,metre,
dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimension,dimension,dimensionless
2995,Fi,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Fi,#aaaa00,0,,,457.745808,329.723558,4
2996,Fi,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Fi,#aaaa00,0,,,790.742303,541.820756,4
2998,Fi,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Fi,#aaaa00,0,,,996.017489,585.620993,4
2999,Fi,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Fi,#aaaa00,0,,,273.987963,269.477946,4
3000,Fi,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Fi,#aaaa00,0,,,574.794733,370.858502,4
3001,Fi,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Fi,#aaaa00,0,,,825.604952,709.592179,1
3002,Fi,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Fi,#aaaa00,0,,,461.494063,401.557778,1
3004,Zo2,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,424.969287,379.339971,1
3005,Zo2,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,176.406713,172.161987,1
3006,Zo2,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,5198.454211,5167.498237,1
3007,Zo2,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,338.197600,248.029981,1
3008,Zo2,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,1625.393905,1604.106237,2
3010,Zo2,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,867.425706,757.900722,2
3011,Zo8,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,1367.384284,1351.256475,2
3012,Zo8,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,1131.316912,989.991218,2
3013,Zo8,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,322.176303,248.826856,1
3014,Zo8,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,378.660538,366.250766,1
3015,Zo8,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,1536.930318,1520.754499,1
3016,Zo8,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,3237.809379,3231.744413,1
3018,Zo8,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,568.052520,494.857905,1
3021,Gu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,933.157319,927.983773,2
3023,Gu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,1743.087978,1585.814261,2
3024,Gu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,563.887242,503.483816,2
3025,Gu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,356.777949,300.472562,4
3029,Gu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,914.109612,909.208446,4
3030,Gu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,577.856725,568.739465,4
3031,Gu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,480.678417,469.990263,1
3032,Gu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,1726.243971,1720.253059,1
3033,Gu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,343.611173,342.763651,1
3034,Gu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,1701.596294,1544.339442,1
3035,Gu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,143.696497,83.541532,4
3036,Gi5,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,7287.094227,6634.128551,2
3037,Gi5,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,144.723136,70.712212,2
3038,Gi5,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,2767.501629,2230.150665,2
3039,Gi5,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,972.376831,538.975184,2
3042,Gi5,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,1385.220325,991.832814,2
3043,Gi5,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,1343.236898,1086.533820,4
3044,Gi5,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,720.781625,371.483408,4
3046,Gi5,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,695.466755,460.788090,1
3047,Gi5,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,211.054445,135.763943,1
3048,Gi5,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,3277.268973,2709.625435,1
3049,So,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,3217.567076,2956.752034,2
3050,So,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,4818.602932,4598.378236,2
3051,So,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,432.778837,276.713612,2
3052,So,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,243.431171,193.649053,4
3053,So,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,110.787419,96.620490,4
3054,So,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,2332.060158,1949.140039,1
3055,So,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,3062.216165,2040.677306,1
3056,So,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,1331.314749,809.083403,1
3057,So,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,730.471427,525.675426,1
3059,So,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,2848.104865,2371.844184,1
3060,Di,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,3672.286511,3413.105660,2
3061,Di,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,4772.910766,4559.735573,2
3062,Di,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,1064.738319,857.344378,2
3063,Di,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,442.570242,388.596664,4
3064,Di,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,616.426078,613.680437,4
3065,Di,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,402.585014,136.982240,4
3066,Di,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,289.858432,189.553979,4
3067,Di,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,330.488432,305.359964,1
3068,Di,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,1373.358184,1127.425517,1
3069,Di,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,938.173103,750.665266,1
3070,Di,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,131.012126,95.887568,1
3071,Di,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,989.183400,505.987671,1
3072,Di,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,548.620768,340.040321,1
3073,Di,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,612.633780,440.263802,1
3074,Di,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,85.661429,48.918200,1
3075,Di,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,2630.586718,2226.981050,1
