Horizons,Total-Proven,Total-Presumed,throw_>_50m_Total,throw_<_50m_Total
T,4,1,2,3
Q,14,0,3,11
N,16,1,0,17
F,44,11,10,47
F-2,4,0,0,4
Zo2,123,10,16,117
Zo8,93,14,23,87
La,47,7,7,48
Gu,114,27,27,114
Ma,87,38,28,97
Hu-1,0,0,0,0
Hu,62,52,25,85
Ka,35,42,20,51
Er,18,32,13,28
Pr,19,24,19,23
Di,11,22,22,10
So,10,24,22,11
Pl,0,0,0,0
Gi5,14,18,21,11
Fi,15,11,19,7
Ge1,2,0,1,1
Kr-2,5,0,2,3
Mg,10,14,17,7
Sb,10,15,18,8
Hf,3,11,11,4
Wb,0,10,10,1
Gs,0,3,2,1
