,Horizon,length_level2,length_level3,length_level4
0,T,532.535627,0.0,2393.7475
1,Q,0.0,969.975781,2171.954855
2,N,0.0,0.0,0.0
3,F,1062.863628,652.332125,2446.233575
4,F-2,0.0,0.0,0.0
5,Zo2,1735.8865070000002,719.672931,2672.041238
6,Zo8,827.687708,633.057779,3922.638363
7,La,1480.441831,0.0,0.0
8,Gu,0.0,3696.470885,2043.930472
9,Ma,640.7879869999999,7150.729726,5023.402826
10,Hu,193.950726,0.0,5458.536793
11,Ka,1378.674062,272.629203,6094.948724999999
12,Er,1465.709507,360.884131,6187.910258000001
13,Pr,2406.378838,0.0,6249.069046
14,Di,2657.857265,267.204592,5926.456336
15,So,3266.995519,292.905275,5561.378777
16,Gi5,3148.473352,1223.8404520000001,3430.684231
17,Fi,3290.2399139999998,1082.285937,3773.187106
18,Ge1,1327.0978029999999,0.0,0.0
19,Kr-2,610.735594,0.0,0.0
20,Mg,0.0,0.0,0.0
21,Sb,679.788492,0.0,6291.82529
22,Hf,0.0,0.0,2023.135968
23,Wb,0.0,0.0,1706.321192
24,Gs,0.0,0.0,0.0
