Midland Valley,4DMove2.0 v1.0
Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Object Measurements,Object Measurements,Container
125,Ka,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,706.832944,610.263145,2
126,Ka,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,4419.822521,4207.044442,4
127,Ka,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,558.022139,525.125667,1
129,Ka,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,338.056822,316.742349,1
134,Ka,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,864.441401,720.092904,1
135,Er,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Er,#ff5500,0,,,3300.172002,3141.123475,2
138,Er,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Er,#ff5500,0,,,597.953315,486.861090,2
143,Er,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Er,#ff5500,0,,,4555.114223,4368.695774,2
150,Er,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Er,#ff5500,0,,,1191.028506,1021.912177,1
156,Pr,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,3477.700467,3286.973298,2
160,Pr,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,5196.196857,4871.194814,2
162,Pr,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,556.892202,512.099576,4
165,Pr,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,1394.465962,1214.550902,1
169,Pr,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,1374.577720,822.608823,1
170,Pr,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,811.042871,524.339705,1
178,Pr,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,108.587026,83.117042,1
180,Pr,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Pr,#ffaaff,0,,,363.228235,215.759482,1
424,Gi5,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,4706.528336,4361.683026,2
490,Fi,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Fi,#aaaa00,0,,,4808.825940,4447.163384,2
745,Mg,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Mg,#ffaa00,0,,,4876.001236,4495.710883,2
754,Sb,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,0,,,2070.855018,1942.579090,2
851,Sb,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,0,,,1722.497796,1622.112885,2
1371,Er,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Er,#ff5500,0,,,458.938461,436.050363,2
1835,Hf,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Hf,#00557f,0,,,2043.780470,1788.411491,2
1838,Hf,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Hf,#00557f,0,,,4335.057690,3362.563156,2
1919,Er,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Er,#ff5500,0,,,256.181864,222.815951,1
2098,F,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,F,#00ff00,0,,,1667.651764,1632.520525,1
2099,F,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,F,#00ff00,0,,,147.734957,128.910775,1
2100,F,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,F,#00ff00,0,,,355.927657,272.429786,4
2133,F,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,F,#00ff00,0,,,324.459818,251.831525,4
2134,F,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,F,#00ff00,0,,,87.709438,86.791568,4
2199,F,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,F,#00ff00,0,,,230.016126,222.541330,4
2201,F,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,F,#00ff00,0,,,321.416431,308.110597,1
2202,F,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,F,#00ff00,0,,,653.934576,644.224810,1
2203,Zo2,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,1563.749484,1536.262801,1
2204,Zo2,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,486.791572,439.639602,4
2205,Zo2,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,860.019346,768.928137,4
2206,Zo2,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,182.460676,154.633501,4
2207,Zo2,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,54.207921,37.817062,1
2259,Zo2,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,423.003547,421.914369,1
2260,Zo2,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,1345.677050,1303.996555,1
2290,Zo2,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,3789.102894,3769.101997,1
2291,Zo2,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo2,#aa00ff,0,,,100.630841,94.009667,1
2292,F,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,F,#00ff00,0,,,4110.222047,4087.438578,1
2293,Zo8,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,1423.253063,1396.419172,1
2294,Zo8,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,547.417270,520.233251,4
2295,Zo8,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,426.937249,360.203797,4
2296,Zo8,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,47.065503,30.794808,4
2299,Zo8,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,110.987399,105.278900,4
2300,Zo8,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,798.633784,785.065422,4
2301,Zo8,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,1580.491911,1526.842628,1
2302,Zo8,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,658.456600,657.204727,1
2303,Zo8,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,542.991635,542.625738,1
2304,Zo8,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,517.890720,512.840803,1
2305,Zo8,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,1251.122030,1246.712685,1
2306,Zo8,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,703.218801,683.439525,1
2307,Zo8,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,358.672745,322.283858,1
2308,Zo8,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,151.306619,146.996309,1
2309,Zo8,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Zo8,#ff00ff,0,,,168.990213,153.723304,1
2310,Gu,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,2654.292424,2528.505424,2
2311,Gu,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,903.376208,867.607526,2
2312,Gu,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,1414.975135,1279.599213,1
2313,Gu,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,1245.720164,1239.367397,1
2315,Gu,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,216.659825,211.457982,1
2316,Gu,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,271.993867,255.944321,1
2317,Gu,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,216.028365,213.167956,1
2318,Gu,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,639.744174,590.970348,1
2319,Gu,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,660.469834,642.174666,1
2320,Gu,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,1278.428295,1199.422691,1
2321,Gu,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Gu,#00ffff,0,,,300.303612,241.940345,1
2323,Ma,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,2800.010301,2667.218173,2
2324,Ma,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,876.142210,822.884284,2
2325,Ma,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,2701.922823,2558.749932,1
2326,Ma,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,656.129862,652.012990,1
2327,Ma,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,415.929203,366.647362,1
2328,Ma,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,639.711876,616.334663,1
2329,Ma,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,1281.366375,1196.066669,1
2330,Ma,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,505.419003,419.393372,1
2360,Ground surface,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Ground surface,#aa5500,0,,,17299.980336,16906.196205,1
2506,Wb,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Wb,#00aaff,0,,,3995.902236,3076.348354,2
2507,Sb,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,0,,,2014.526608,1649.504417,2
2508,Sb,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Sb,#ff5500,0,,,4896.217753,3856.150108,2
2690,Hu,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,1322.535860,1154.984832,2
2691,So,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,1327.513238,1137.053334,2
2723,Mg,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Mg,#ffaa00,0,,,1718.396845,1347.544117,2
2729,Mg,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Mg,#ffaa00,0,,,5514.076998,4361.724819,2
2730,Fi,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Fi,#aaaa00,0,,,1310.017875,988.770830,2
2733,Fi,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Fi,#aaaa00,0,,,2417.220364,2104.208634,2
2734,Gi5,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,821.164283,616.517969,2
2735,Gi5,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,2410.514060,2211.671985,2
2736,So,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,1657.913252,1551.892005,2
2737,So,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,387.799674,323.039731,4
2738,Di,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,1186.684673,1154.500642,2
2741,Di,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,480.626913,422.741928,4
2803,So,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,1771.040478,1572.555489,2
2808,Di,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,1476.948820,1291.449339,2
2976,Di,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Di,#528433,0,,,2506.320473,2251.706207,2
2977,So,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,So,#00007f,0,,,2316.193464,2122.627507,2
2978,Gi5,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Gi5,#aa007f,0,,,1808.024079,1718.658984,2
2979,Fi,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Fi,#aaaa00,0,,,618.262490,580.854149,2
2980,N,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,N,#aa557f,0,,,796.671505,722.753508,4
2981,N,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,N,#aa557f,0,,,75.722080,19.906710,1
2982,N,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,N,#aa557f,0,,,46.053601,26.033044,1
2983,T,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,T,#defd64,0,,,551.548343,497.440761,1
