Midland Valley,4DMove2.0 v1.0
Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Object Measurements,Object Measurements,Container
Integer,Text,Text,Text,Text,Color,Boolean,Boolean,Boolean,Real,Real,Integer
GeoId,Name,Object Type,Section,Horizon,Colour,InTime,Fault,closed,length,Horizontal length,line_style
#7F603F,#FFFFFF,#B7BF5F,#333F1F,#FFFFFF,#FFE27F,#FFFFFF,#FFFFFF,#FFFFFF,#7FF7FF,#3F697F,#FFFFFF
,,,,,,,,,metre,metre,
dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimension,dimension,dimensionless
73,Hu,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,2904.443680,2763.650292,2
77,Hu,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,857.862100,783.616709,2
90,Hu,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,62.887323,0.548658,1
91,Hu,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,2636.447820,2562.387072,1
98,Hu,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,665.361546,654.849650,1
102,Hu,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,886.857072,812.287105,1
107,Hu,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,1281.252835,1203.109812,1
111,Hu,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,648.781320,541.929927,1
122,Wb,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Wb,#00aaff,0,,,1964.321357,1726.614639,2
124,Ka,Line,Map1_Tafel_25_Section_10_Emscher_West_Ruhrgebit_G1,Ka,#abd3b0,0,,,3202.739302,3046.232139,2
