,Horizon,length_level2,length_level3,length_level4
0,T,551.548343,0.0,0.0
1,Q,0.0,0.0,0.0
2,N,121.775681,796.671505,0.0
3,F,6900.959775,998.1130390000001,0.0
4,F-2,0.0,0.0,0.0
5,Zo2,7276.371737,1529.271594,0.0
6,Zo8,7356.394337,1931.041205,0.0
7,La,0.0,0.0,0.0
8,Gu,6244.323271,0.0,3557.6686320000003
9,Ma,6200.479142,0.0,3676.152511
10,Hu,6181.587916,0.0,5084.84164
11,Ka,1760.5203620000002,4419.822521,3909.5722459999997
12,Er,1447.2103700000002,0.0,8912.178001
13,Pr,4051.901814,556.892202,8673.897324
14,Di,0.0,480.626913,5169.953966
15,So,0.0,387.799674,7072.660432
16,Gi5,0.0,0.0,9746.230758
17,Fi,0.0,0.0,9154.326669
18,Ge1,0.0,0.0,0.0
19,Kr-2,0.0,0.0,0.0
20,Mg,0.0,0.0,12108.475079
21,Sb,0.0,0.0,10704.097174999999
22,Hf,0.0,0.0,6378.838159999999
23,Wb,0.0,0.0,5960.223593
24,Gs,0.0,0.0,0.0
