Unnamed: 0,x,y,z,Name,Id,Vertex Index,PType,uncertaintyclasses
50928,2303.5714,1467.457,-417.2476,Horizon_04,319,655,0,2.0
50929,2300.0,1467.457,-417.2476,Horizon_04,319,656,0,2.0
50930,2296.4286,1467.457,-417.2476,Horizon_04,319,657,0,2.0
50985,2303.5714,1464.3763,-418.9179,Horizon_04,319,712,0,2.0
50986,2300.0,1464.3763,-418.9179,Horizon_04,319,713,0,2.0
50987,2296.4286,1464.3763,-418.9179,Horizon_04,319,714,0,2.0
51043,2300.0,1461.2348,-420.4706,Horizon_04,319,770,0,2.0
51271,2300.0,1448.6355,-426.6142,Horizon_04,319,998,0,2.0
51327,2303.5714,1445.4856,-428.1501,Horizon_04,319,1054,0,2.0
51328,2300.0,1445.4856,-428.1501,Horizon_04,319,1055,0,2.0
51329,2296.4286,1445.4856,-428.1501,Horizon_04,319,1056,0,2.0
51384,2303.5714,1442.3358,-429.686,Horizon_04,319,1111,0,2.0
51385,2300.0,1442.3358,-429.686,Horizon_04,319,1112,0,2.0
51386,2296.4286,1442.3358,-429.686,Horizon_04,319,1113,0,2.0
51441,2303.5714,1439.1859,-431.2218,Horizon_04,319,1168,0,2.0
51442,2300.0,1439.1859,-431.2218,Horizon_04,319,1169,0,2.0
51443,2296.4286,1439.1859,-431.2218,Horizon_04,319,1170,0,2.0
51498,2303.5714,1436.0361,-432.7577,Horizon_04,319,1225,0,2.0
51499,2300.0,1436.0361,-432.7577,Horizon_04,319,1226,0,2.0
51500,2296.4286,1436.0361,-432.7577,Horizon_04,319,1227,0,2.0
51555,2303.5714,1432.8863,-434.2936,Horizon_04,319,1282,0,2.0
51556,2300.0,1432.8863,-434.2936,Horizon_04,319,1283,0,2.0
51557,2296.4286,1432.8863,-434.2936,Horizon_04,319,1284,0,2.0
51897,2303.5714,1413.9872,-443.5088,Horizon_04,319,1624,0,2.0
51898,2300.0,1413.9872,-443.5088,Horizon_04,319,1625,0,2.0
51899,2296.4286,1413.9872,-443.5088,Horizon_04,319,1626,0,2.0
51954,2303.5714,1410.8374,-445.0447,Horizon_04,319,1681,0,2.0
51955,2300.0,1410.8374,-445.0447,Horizon_04,319,1682,0,2.0
51956,2296.4286,1410.8374,-445.0447,Horizon_04,319,1683,0,2.0
52011,2303.5714,1407.6875,-446.5806,Horizon_04,319,1738,0,2.0
52012,2300.0,1407.6875,-446.5806,Horizon_04,319,1739,0,2.0
52013,2296.4286,1407.6875,-446.5806,Horizon_04,319,1740,0,2.0
52467,2303.5714,1382.4501,-458.7879,Horizon_04,319,2194,0,2.0
52468,2300.0,1382.4501,-458.7879,Horizon_04,319,2195,0,2.0
52469,2296.4286,1382.4501,-458.7879,Horizon_04,319,2196,0,2.0
52524,2303.5714,1379.2943,-460.3114,Horizon_04,319,2251,0,2.0
52525,2300.0,1379.2943,-460.3114,Horizon_04,319,2252,0,2.0
52526,2296.4286,1379.2943,-460.3114,Horizon_04,319,2253,0,2.0
52581,2303.5714,1376.1383,-461.8346,Horizon_04,319,2308,0,2.0
52582,2300.0,1376.1383,-461.8346,Horizon_04,319,2309,0,2.0
52583,2296.4286,1376.1383,-461.8346,Horizon_04,319,2310,0,2.0
52638,2303.5714,1372.9643,-463.3199,Horizon_04,319,2365,0,2.0
52639,2300.0,1372.9643,-463.3199,Horizon_04,319,2366,0,2.0
52640,2296.4286,1372.9643,-463.3199,Horizon_04,319,2367,0,2.0
52923,2303.5714,1355.7736,-464.3275,Horizon_04,319,2650,0,2.0
52924,2300.0,1355.7736,-464.3275,Horizon_04,319,2651,0,2.0
52925,2296.4286,1355.7736,-464.3275,Horizon_04,319,2652,0,2.0
52980,2303.5714,1352.375,-463.4761,Horizon_04,319,2707,0,2.0
52981,2300.0,1352.375,-463.4761,Horizon_04,319,2708,0,2.0
52982,2296.4286,1352.375,-463.4761,Horizon_04,319,2709,0,2.0
53037,2303.5714,1349.5805,-461.3689,Horizon_04,319,2764,0,2.0
53038,2300.0,1349.5805,-461.3689,Horizon_04,319,2765,0,2.0
53039,2296.4286,1349.5805,-461.3689,Horizon_04,319,2766,0,2.0
53094,2303.5714,1347.4849,-458.5618,Horizon_04,319,2821,0,2.0
53095,2300.0,1347.4849,-458.5618,Horizon_04,319,2822,0,2.0
53096,2296.4286,1347.4849,-458.5618,Horizon_04,319,2823,0,2.0
53721,2303.5714,1327.7645,-425.4696,Horizon_04,319,3448,0,2.0
53722,2300.0,1327.7645,-425.4696,Horizon_04,319,3449,0,2.0
53723,2296.4286,1327.7645,-425.4696,Horizon_04,319,3450,0,2.0
53778,2303.5714,1325.7069,-422.6329,Horizon_04,319,3505,0,2.0
53779,2300.0,1325.7069,-422.6329,Horizon_04,319,3506,0,2.0
53780,2296.4286,1325.7069,-422.6329,Horizon_04,319,3507,0,2.0
53835,2303.5714,1323.6491,-419.7964,Horizon_04,319,3562,0,2.0
53836,2300.0,1323.6491,-419.7964,Horizon_04,319,3563,0,2.0
53837,2296.4286,1323.6491,-419.7964,Horizon_04,319,3564,0,2.0
53892,2303.5714,1321.5912,-416.9599,Horizon_04,319,3619,0,2.0
53893,2300.0,1321.5912,-416.9599,Horizon_04,319,3620,0,2.0
53894,2296.4286,1321.5912,-416.9599,Horizon_04,319,3621,0,2.0
53949,2303.5714,1319.5334,-414.1234,Horizon_04,319,3676,0,2.0
53950,2300.0,1319.5334,-414.1234,Horizon_04,319,3677,0,2.0
53951,2296.4286,1319.5334,-414.1234,Horizon_04,319,3678,0,2.0
54006,2303.5714,1317.4755,-411.2869,Horizon_04,319,3733,0,2.0
54007,2300.0,1317.4755,-411.2869,Horizon_04,319,3734,0,2.0
54008,2296.4286,1317.4755,-411.2869,Horizon_04,319,3735,0,2.0
54063,2303.5714,1315.4215,-408.4477,Horizon_04,319,3790,0,2.0
54064,2300.0,1315.4215,-408.4477,Horizon_04,319,3791,0,2.0
54065,2296.4286,1315.4215,-408.4477,Horizon_04,319,3792,0,2.0
