x,y,z,Name
560.5534,4,-136.8014,Tunnel_Well
559.8593,3.9392,-136.828,Tunnel_Well
559.1864,3.7588,-136.8538,Tunnel_Well
558.5549,3.4641,-136.878,Tunnel_Well
557.9842,3.0642,-136.8999,Tunnel_Well
557.4915,2.5712,-136.9188,Tunnel_Well
557.0919,2,-136.9341,Tunnel_Well
556.7974,1.3681,-136.9454,Tunnel_Well
556.6171,0.6946,-136.9524,Tunnel_Well
556.5564,0,-136.9547,Tunnel_Well
556.6171,-0.6946,-136.9524,Tunnel_Well
556.7974,-1.3681,-136.9454,Tunnel_Well
557.0919,-2,-136.9341,Tunnel_Well
557.4915,-2.5712,-136.9188,Tunnel_Well
557.9842,-3.0642,-136.8999,Tunnel_Well
558.5549,-3.4641,-136.878,Tunnel_Well
559.1864,-3.7588,-136.8538,Tunnel_Well
559.8593,-3.9392,-136.828,Tunnel_Well
560.5534,-4,-136.8014,Tunnel_Well
561.2475,-3.9392,-136.7747,Tunnel_Well
561.9205,-3.7588,-136.7489,Tunnel_Well
562.552,-3.4641,-136.7247,Tunnel_Well
563.1227,-3.0642,-136.7028,Tunnel_Well
563.6154,-2.5712,-136.6839,Tunnel_Well
564.015,-2,-136.6686,Tunnel_Well
564.3094,-1.3681,-136.6573,Tunnel_Well
564.4898,-0.6946,-136.6504,Tunnel_Well
564.5505,0,-136.648,Tunnel_Well
564.4898,0.6946,-136.6504,Tunnel_Well
564.3094,1.3681,-136.6573,Tunnel_Well
564.015,2,-136.6686,Tunnel_Well
563.6154,2.5712,-136.6839,Tunnel_Well
563.1227,3.0642,-136.7028,Tunnel_Well
562.552,3.4641,-136.7247,Tunnel_Well
561.9205,3.7588,-136.7489,Tunnel_Well
561.2475,3.9392,-136.7747,Tunnel_Well
564.7295,4,-245.6668,Tunnel_Well
564.0355,3.9392,-245.6935,Tunnel_Well
563.3625,3.7588,-245.7193,Tunnel_Well
562.731,3.4641,-245.7435,Tunnel_Well
562.1603,3.0642,-245.7654,Tunnel_Well
561.6676,2.5712,-245.7843,Tunnel_Well
561.268,2,-245.7996,Tunnel_Well
560.9735,1.3681,-245.8109,Tunnel_Well
560.7932,0.6946,-245.8178,Tunnel_Well
560.7325,0,-245.8202,Tunnel_Well
560.7932,-0.6946,-245.8178,Tunnel_Well
560.9735,-1.3681,-245.8109,Tunnel_Well
561.268,-2,-245.7996,Tunnel_Well
561.6676,-2.5712,-245.7843,Tunnel_Well
562.1603,-3.0642,-245.7654,Tunnel_Well
562.731,-3.4641,-245.7435,Tunnel_Well
563.3625,-3.7588,-245.7193,Tunnel_Well
564.0355,-3.9392,-245.6935,Tunnel_Well
564.7295,-4,-245.6668,Tunnel_Well
565.4236,-3.9392,-245.6402,Tunnel_Well
566.0966,-3.7588,-245.6144,Tunnel_Well
566.7281,-3.4641,-245.5902,Tunnel_Well
567.2988,-3.0642,-245.5683,Tunnel_Well
567.7915,-2.5712,-245.5494,Tunnel_Well
568.1911,-2,-245.5341,Tunnel_Well
568.4856,-1.3681,-245.5228,Tunnel_Well
568.6659,-0.6946,-245.5158,Tunnel_Well
568.7266,0,-245.5135,Tunnel_Well
568.6659,0.6946,-245.5158,Tunnel_Well
568.4856,1.3681,-245.5228,Tunnel_Well
568.1911,2,-245.5341,Tunnel_Well
567.7915,2.5712,-245.5494,Tunnel_Well
567.2988,3.0642,-245.5683,Tunnel_Well
566.7281,3.4641,-245.5902,Tunnel_Well
566.0966,3.7588,-245.6144,Tunnel_Well
565.4236,3.9392,-245.6402,Tunnel_Well
