x,y,z,Name
445.7978,-3.4641,-251.2418,Tunnel_Well
445.7614,-3.0642,-250.6718,Tunnel_Well
445.7301,-2.5712,-250.1797,Tunnel_Well
445.7047,-2,-249.7806,Tunnel_Well
445.6859,-1.3681,-249.4866,Tunnel_Well
445.6744,-0.6946,-249.3065,Tunnel_Well
445.6706,0,-249.2458,Tunnel_Well
445.6744,0.6946,-249.3065,Tunnel_Well
445.6859,1.3681,-249.4866,Tunnel_Well
445.7047,2,-249.7806,Tunnel_Well
445.7301,2.5712,-250.1797,Tunnel_Well
445.7614,3.0642,-250.6718,Tunnel_Well
445.7978,3.4641,-251.2418,Tunnel_Well
445.838,3.7588,-251.8724,Tunnel_Well
445.8808,3.9392,-252.5445,Tunnel_Well
550.2841,4,-246.5874,Tunnel_Well
550.3282,3.9392,-247.2806,Tunnel_Well
550.3711,3.7588,-247.9527,Tunnel_Well
550.4113,3.4641,-248.5833,Tunnel_Well
550.4476,3.0642,-249.1533,Tunnel_Well
550.4789,2.5712,-249.6454,Tunnel_Well
550.5044,2,-250.0445,Tunnel_Well
550.5231,1.3681,-250.3385,Tunnel_Well
550.5346,0.6946,-250.5186,Tunnel_Well
550.5385,0,-250.5793,Tunnel_Well
550.5346,-0.6946,-250.5186,Tunnel_Well
550.5231,-1.3681,-250.3385,Tunnel_Well
550.5044,-2,-250.0445,Tunnel_Well
550.4789,-2.5712,-249.6454,Tunnel_Well
550.4476,-3.0642,-249.1533,Tunnel_Well
550.4113,-3.4641,-248.5833,Tunnel_Well
550.3711,-3.7588,-247.9527,Tunnel_Well
550.3282,-3.9392,-247.2806,Tunnel_Well
550.2841,-4,-246.5874,Tunnel_Well
550.2399,-3.9392,-245.8942,Tunnel_Well
550.1971,-3.7588,-245.2221,Tunnel_Well
550.1569,-3.4641,-244.5914,Tunnel_Well
550.1206,-3.0642,-244.0214,Tunnel_Well
550.0892,-2.5712,-243.5294,Tunnel_Well
550.0638,-2,-243.1303,Tunnel_Well
550.045,-1.3681,-242.8362,Tunnel_Well
550.0335,-0.6946,-242.6561,Tunnel_Well
550.0297,0,-242.5955,Tunnel_Well
550.0335,0.6946,-242.6561,Tunnel_Well
550.045,1.3681,-242.8362,Tunnel_Well
550.0638,2,-243.1303,Tunnel_Well
550.0892,2.5712,-243.5294,Tunnel_Well
550.1206,3.0642,-244.0214,Tunnel_Well
550.1569,3.4641,-244.5914,Tunnel_Well
550.1971,3.7588,-245.2221,Tunnel_Well
550.2399,3.9392,-245.8942,Tunnel_Well
654.6432,4,-239.937,Tunnel_Well
654.6874,3.9392,-240.6302,Tunnel_Well
654.7302,3.7588,-241.3024,Tunnel_Well
654.7704,3.4641,-241.933,Tunnel_Well
654.8067,3.0642,-242.503,Tunnel_Well
654.8381,2.5712,-242.995,Tunnel_Well
654.8635,2,-243.3941,Tunnel_Well
654.8822,1.3681,-243.6882,Tunnel_Well
654.8937,0.6946,-243.8683,Tunnel_Well
654.8976,0,-243.9289,Tunnel_Well
654.8937,-0.6946,-243.8683,Tunnel_Well
654.8822,-1.3681,-243.6882,Tunnel_Well
654.8635,-2,-243.3941,Tunnel_Well
654.8381,-2.5712,-242.995,Tunnel_Well
654.8067,-3.0642,-242.503,Tunnel_Well
654.7704,-3.4641,-241.933,Tunnel_Well
654.7302,-3.7588,-241.3024,Tunnel_Well
654.6874,-3.9392,-240.6302,Tunnel_Well
654.6432,-4,-239.937,Tunnel_Well
654.599,-3.9392,-239.2439,Tunnel_Well
654.5562,-3.7588,-238.5717,Tunnel_Well
654.516,-3.4641,-237.9411,Tunnel_Well
654.4797,-3.0642,-237.3711,Tunnel_Well
654.4483,-2.5712,-236.8791,Tunnel_Well
654.4229,-2,-236.48,Tunnel_Well
654.4041,-1.3681,-236.1859,Tunnel_Well
654.3927,-0.6946,-236.0058,Tunnel_Well
654.3888,0,-235.9451,Tunnel_Well
654.3927,0.6946,-236.0058,Tunnel_Well
654.4041,1.3681,-236.1859,Tunnel_Well
654.4229,2,-236.48,Tunnel_Well
