x,y,z,Name
816.3699,4,-123.1196,Tunnel_Well
815.6758,3.9392,-123.1465,Tunnel_Well
815.0029,3.7588,-123.1725,Tunnel_Well
814.3714,3.4641,-123.1969,Tunnel_Well
813.8007,3.0642,-123.2189,Tunnel_Well
813.308,2.5712,-123.238,Tunnel_Well
812.9084,2,-123.2534,Tunnel_Well
812.6139,1.3681,-123.2648,Tunnel_Well
812.4336,0.6946,-123.2717,Tunnel_Well
812.3729,0,-123.2741,Tunnel_Well
812.4336,-0.6946,-123.2717,Tunnel_Well
812.6139,-1.3681,-123.2648,Tunnel_Well
812.9084,-2,-123.2534,Tunnel_Well
813.308,-2.5712,-123.238,Tunnel_Well
813.8007,-3.0642,-123.2189,Tunnel_Well
814.3714,-3.4641,-123.1969,Tunnel_Well
815.0029,-3.7588,-123.1725,Tunnel_Well
815.6758,-3.9392,-123.1465,Tunnel_Well
816.3699,-4,-123.1196,Tunnel_Well
817.064,-3.9392,-123.0928,Tunnel_Well
817.737,-3.7588,-123.0668,Tunnel_Well
818.3684,-3.4641,-123.0424,Tunnel_Well
818.9391,-3.0642,-123.0203,Tunnel_Well
819.4318,-2.5712,-123.0013,Tunnel_Well
819.8314,-2,-122.9859,Tunnel_Well
820.1259,-1.3681,-122.9745,Tunnel_Well
820.3062,-0.6946,-122.9675,Tunnel_Well
820.3669,0,-122.9652,Tunnel_Well
820.3062,0.6946,-122.9675,Tunnel_Well
820.1259,1.3681,-122.9745,Tunnel_Well
819.8314,2,-122.9859,Tunnel_Well
819.4318,2.5712,-123.0013,Tunnel_Well
818.9391,3.0642,-123.0203,Tunnel_Well
818.3684,3.4641,-123.0424,Tunnel_Well
817.737,3.7588,-123.0668,Tunnel_Well
817.064,3.9392,-123.0928,Tunnel_Well
820.4759,4,-229.3693,Tunnel_Well
819.7818,3.9392,-229.3961,Tunnel_Well
819.1088,3.7588,-229.4221,Tunnel_Well
818.4774,3.4641,-229.4465,Tunnel_Well
817.9066,3.0642,-229.4686,Tunnel_Well
817.414,2.5712,-229.4876,Tunnel_Well
817.0143,2,-229.503,Tunnel_Well
816.7199,1.3681,-229.5144,Tunnel_Well
816.5396,0.6946,-229.5214,Tunnel_Well
816.4788,0,-229.5237,Tunnel_Well
816.5396,-0.6946,-229.5214,Tunnel_Well
816.7199,-1.3681,-229.5144,Tunnel_Well
817.0143,-2,-229.503,Tunnel_Well
817.414,-2.5712,-229.4876,Tunnel_Well
817.9066,-3.0642,-229.4686,Tunnel_Well
818.4774,-3.4641,-229.4465,Tunnel_Well
819.1088,-3.7588,-229.4221,Tunnel_Well
819.7818,-3.9392,-229.3961,Tunnel_Well
820.4759,-4,-229.3693,Tunnel_Well
821.1699,-3.9392,-229.3425,Tunnel_Well
821.8429,-3.7588,-229.3164,Tunnel_Well
822.4744,-3.4641,-229.292,Tunnel_Well
823.0451,-3.0642,-229.27,Tunnel_Well
823.5378,-2.5712,-229.251,Tunnel_Well
823.9374,-2,-229.2355,Tunnel_Well
824.2318,-1.3681,-229.2241,Tunnel_Well
824.4122,-0.6946,-229.2172,Tunnel_Well
824.4729,0,-229.2148,Tunnel_Well
824.4122,0.6946,-229.2172,Tunnel_Well
824.2318,1.3681,-229.2241,Tunnel_Well
823.9374,2,-229.2355,Tunnel_Well
823.5378,2.5712,-229.251,Tunnel_Well
823.0451,3.0642,-229.27,Tunnel_Well
822.4744,3.4641,-229.292,Tunnel_Well
821.8429,3.7588,-229.3164,Tunnel_Well
821.1699,3.9392,-229.3425,Tunnel_Well
