x,y,z,Name
720.1243,4,-45.0477,Tunnel_Well
719.4306,3.9392,-45.0824,Tunnel_Well
718.7579,3.7588,-45.116,Tunnel_Well
718.1268,3.4641,-45.1475,Tunnel_Well
717.5564,3.0642,-45.1761,Tunnel_Well
717.064,2.5712,-45.2007,Tunnel_Well
716.6645,2,-45.2207,Tunnel_Well
716.3702,1.3681,-45.2354,Tunnel_Well
716.19,0.6946,-45.2444,Tunnel_Well
716.1293,0,-45.2474,Tunnel_Well
716.19,-0.6946,-45.2444,Tunnel_Well
716.3702,-1.3681,-45.2354,Tunnel_Well
716.6645,-2,-45.2207,Tunnel_Well
717.064,-2.5712,-45.2007,Tunnel_Well
717.5564,-3.0642,-45.1761,Tunnel_Well
718.1268,-3.4641,-45.1475,Tunnel_Well
718.7579,-3.7588,-45.116,Tunnel_Well
719.4306,-3.9392,-45.0824,Tunnel_Well
720.1243,-4,-45.0477,Tunnel_Well
720.818,-3.9392,-45.013,Tunnel_Well
721.4907,-3.7588,-44.9794,Tunnel_Well
722.1218,-3.4641,-44.9478,Tunnel_Well
722.6923,-3.0642,-44.9193,Tunnel_Well
723.1847,-2.5712,-44.8947,Tunnel_Well
723.5841,-2,-44.8747,Tunnel_Well
723.8784,-1.3681,-44.86,Tunnel_Well
724.0586,-0.6946,-44.851,Tunnel_Well
724.1193,0,-44.8479,Tunnel_Well
724.0586,0.6946,-44.851,Tunnel_Well
723.8784,1.3681,-44.86,Tunnel_Well
723.5841,2,-44.8747,Tunnel_Well
723.1847,2.5712,-44.8947,Tunnel_Well
722.6923,3.0642,-44.9193,Tunnel_Well
722.1218,3.4641,-44.9478,Tunnel_Well
721.4907,3.7588,-44.9794,Tunnel_Well
720.818,3.9392,-45.013,Tunnel_Well
724.2159,4,-126.8813,Tunnel_Well
723.5222,3.9392,-126.916,Tunnel_Well
722.8496,3.7588,-126.9497,Tunnel_Well
722.2184,3.4641,-126.9812,Tunnel_Well
721.648,3.0642,-127.0097,Tunnel_Well
721.1556,2.5712,-127.0344,Tunnel_Well
720.7562,2,-127.0543,Tunnel_Well
720.4618,1.3681,-127.069,Tunnel_Well
720.2816,0.6946,-127.0781,Tunnel_Well
720.2209,0,-127.0811,Tunnel_Well
720.2816,-0.6946,-127.0781,Tunnel_Well
720.4618,-1.3681,-127.069,Tunnel_Well
720.7562,-2,-127.0543,Tunnel_Well
721.1556,-2.5712,-127.0344,Tunnel_Well
721.648,-3.0642,-127.0097,Tunnel_Well
722.2184,-3.4641,-126.9812,Tunnel_Well
722.8496,-3.7588,-126.9497,Tunnel_Well
723.5222,-3.9392,-126.916,Tunnel_Well
724.2159,-4,-126.8813,Tunnel_Well
724.9097,-3.9392,-126.8467,Tunnel_Well
725.5823,-3.7588,-126.813,Tunnel_Well
726.2134,-3.4641,-126.7815,Tunnel_Well
726.7839,-3.0642,-126.7529,Tunnel_Well
727.2763,-2.5712,-126.7283,Tunnel_Well
727.6757,-2,-126.7084,Tunnel_Well
727.97,-1.3681,-126.6936,Tunnel_Well
728.1502,-0.6946,-126.6846,Tunnel_Well
728.2109,0,-126.6816,Tunnel_Well
728.1502,0.6946,-126.6846,Tunnel_Well
727.97,1.3681,-126.6936,Tunnel_Well
727.6757,2,-126.7084,Tunnel_Well
727.2763,2.5712,-126.7283,Tunnel_Well
726.7839,3.0642,-126.7529,Tunnel_Well
726.2134,3.4641,-126.7815,Tunnel_Well
725.5823,3.7588,-126.813,Tunnel_Well
724.9097,3.9392,-126.8467,Tunnel_Well
