Vertex Index,Name,Id,PType,Section,Fault Set,Horizon,x,y,z,azimuth,dip
,,,,,,outcrop-1,361.1955,250,2.1637,,
,,,,,,outcrop-1,368.1644,250,-3.6139,,
,,,,,,outcrop-1,371.7783,250,-4.9691,,
,,,,,,outcrop-1,375.8439,250,-3.1621,,
,,,,,,outcrop-1,381.2647,250,9.4864,,
,,,,,,outcrop-1,386.2338,250,39.301,,
,,,,,,outcrop-1,388.4925,250,51.4978,,
,,,,,,outcrop-1,392.1064,250,82.2159,,
,,,,,,outcrop-1,395.2685,250,109.32,,
,,,,,,outcrop-1,401.1411,250,121.0651,,
,,,,,,outcrop-1,408.3689,250,118.3547,,
,,,,,,outcrop-1,426.89,250,109.7717,,
,,,,,,outcrop-1,452.6389,250,92.154,,
,,,,,,outcrop-1,473.8705,250,81.3124,,
,,,,,,outcrop-1,491.9399,250,70.4707,,
,,,,,,outcrop-1,512.7198,250,56.9187,,
,,,,,,outcrop-1,523.1097,250,47.4322,,
,,,,,,outcrop-1,531.2409,250,43.3666,,
,,,,,,outcrop-1,537.5652,250,47.884,,
,,,,,,outcrop-1,544.793,250,60.0808,,
,,,,,,outcrop-1,555.1829,250,86.7332,,
,,,,,,outcrop-1,561.9589,250,101.1887,,
,,,,,,outcrop-1,565.5728,250,101.6405,,
,,,,,,outcrop-1,586.3526,250,88.9919,,
,,,,,,outcrop-1,622.4915,250,72.2777,,
,,,,,,outcrop-1,662.2442,250,53.7565,,
,,,,,,outcrop-1,721.4216,250,28.0076,,
,,,,,,outcrop-1,739.9427,250,21.2316,,
,,,,,,outcrop-1,746.7187,250,14.9073,,
,,,,,,outcrop-1,760.5705,250,10.8772,,
,,,,,,outcrop-1,771.8661,250,9.2038,,
,,,,,,outcrop-1,779.3965,250,7.9488,,
,,,,,,outcrop-1,790.9395,250,4.1011,,
,,,,,,outcrop-1,361.1955,0,2.1637,,
,,,,,,outcrop-1,368.1644,0,-3.6139,,
,,,,,,outcrop-1,371.7783,0,-4.9691,,
,,,,,,outcrop-1,375.8439,0,-3.1621,,
,,,,,,outcrop-1,381.2647,0,9.4864,,
,,,,,,outcrop-1,386.2338,0,39.301,,
,,,,,,outcrop-1,388.4925,0,51.4978,,
,,,,,,outcrop-1,392.1064,0,82.2159,,
,,,,,,outcrop-1,395.2685,0,109.32,,
,,,,,,outcrop-1,401.1411,0,121.0651,,
,,,,,,outcrop-1,408.3689,0,118.3547,,
,,,,,,outcrop-1,426.89,0,109.7717,,
,,,,,,outcrop-1,452.6389,0,92.154,,
,,,,,,outcrop-1,473.8705,0,81.3124,,
,,,,,,outcrop-1,491.9399,0,70.4707,,
,,,,,,outcrop-1,512.7198,0,56.9187,,
,,,,,,outcrop-1,523.1097,0,47.4322,,
,,,,,,outcrop-1,531.2409,0,43.3666,,
,,,,,,outcrop-1,537.5652,0,47.884,,
,,,,,,outcrop-1,544.793,0,60.0808,,
,,,,,,outcrop-1,555.1829,0,86.7332,,
,,,,,,outcrop-1,561.9589,0,101.1887,,
,,,,,,outcrop-1,565.5728,0,101.6405,,
,,,,,,outcrop-1,586.3526,0,88.9919,,
,,,,,,outcrop-1,622.4915,0,72.2777,,
,,,,,,outcrop-1,662.2442,0,53.7565,,
,,,,,,outcrop-1,721.4216,0,28.0076,,
,,,,,,outcrop-1,739.9427,0,21.2316,,
,,,,,,outcrop-1,746.7187,0,14.9073,,
,,,,,,outcrop-1,760.5705,0,10.8772,,
,,,,,,outcrop-1,771.8661,0,9.2038,,
,,,,,,outcrop-1,779.3965,0,7.9488,,
,,,,,,outcrop-1,790.9395,0,4.1011,,
,,,,,,outcrop-1,361.1955,227.2727,2.1637,,
,,,,,,outcrop-1,376.5714,227.2727,-1.4648,,
,,,,,,outcrop-1,382.4637,227.2727,16.6804,,
,,,,,,outcrop-1,385.6215,227.2727,35.6269,,
,,,,,,outcrop-1,388.8522,227.2727,54.5555,,
,,,,,,outcrop-1,391.0965,227.2727,73.6318,,
,,,,,,outcrop-1,393.3306,227.2727,92.7092,,
,,,,,,outcrop-1,396.3796,227.2727,111.542,,
,,,,,,outcrop-1,409.1323,227.2727,118.0009,,
,,,,,,outcrop-1,426.5597,227.2727,109.9248,,
,,,,,,outcrop-1,442.4419,227.2727,99.131,,
,,,,,,outcrop-1,458.7416,227.2727,89.0378,,
,,,,,,outcrop-1,475.7747,227.2727,80.1699,,
,,,,,,outcrop-1,492.2381,227.2727,70.2763,,
,,,,,,outcrop-1,508.3268,227.2727,59.7837,,
,,,,,,outcrop-1,523.0313,227.2727,47.5038,,
,,,,,,outcrop-1,538.7065,227.2727,49.8099,,
,,,,,,outcrop-1,547.4331,227.2727,66.8533,,
,,,,,,outcrop-1,554.4095,227.2727,84.7494,,
,,,,,,outcrop-1,563.064,227.2727,101.3269,,
,,,,,,outcrop-1,579.8204,227.2727,92.9681,,
,,,,,,outcrop-1,596.8453,227.2727,84.139,,
,,,,,,outcrop-1,614.2788,227.2727,76.076,,
,,,,,,outcrop-1,631.7003,227.2727,67.9872,,
,,,,,,outcrop-1,649.1111,227.2727,59.8753,,
,,,,,,outcrop-1,666.5716,227.2727,51.8736,,
,,,,,,outcrop-1,684.1843,227.2727,44.2101,,
,,,,,,outcrop-1,701.7971,227.2727,36.5465,,
,,,,,,outcrop-1,719.4098,227.2727,28.8829,,
,,,,,,outcrop-1,737.3997,227.2727,22.162,,
,,,,,,outcrop-1,753.6619,227.2727,12.8872,,
,,,,,,outcrop-1,772.4519,227.2727,9.1062,,
,,,,,,outcrop-1,790.9395,227.2727,4.1011,,
,,,,,,outcrop-1,361.1955,204.5455,2.1637,,
,,,,,,outcrop-1,376.5714,204.5455,-1.4648,,
,,,,,,outcrop-1,382.4637,204.5455,16.6804,,
,,,,,,outcrop-1,385.6215,204.5455,35.6269,,
,,,,,,outcrop-1,388.8522,204.5455,54.5555,,
,,,,,,outcrop-1,391.0965,204.5455,73.6318,,
,,,,,,outcrop-1,393.3306,204.5455,92.7092,,
,,,,,,outcrop-1,396.3796,204.5455,111.542,,
,,,,,,outcrop-1,409.1323,204.5455,118.0009,,
,,,,,,outcrop-1,426.5597,204.5455,109.9248,,
,,,,,,outcrop-1,442.4419,204.5455,99.131,,
,,,,,,outcrop-1,458.7416,204.5455,89.0378,,
,,,,,,outcrop-1,475.7747,204.5455,80.1699,,
,,,,,,outcrop-1,492.2381,204.5455,70.2763,,
,,,,,,outcrop-1,508.3268,204.5455,59.7837,,
,,,,,,outcrop-1,523.0313,204.5455,47.5038,,
,,,,,,outcrop-1,538.7065,204.5455,49.8099,,
,,,,,,outcrop-1,547.4331,204.5455,66.8533,,
,,,,,,outcrop-1,554.4095,204.5455,84.7494,,
,,,,,,outcrop-1,563.064,204.5455,101.3269,,
,,,,,,outcrop-1,579.8204,204.5455,92.9681,,
,,,,,,outcrop-1,596.8453,204.5455,84.139,,
,,,,,,outcrop-1,614.2788,204.5455,76.076,,
,,,,,,outcrop-1,631.7003,204.5455,67.9872,,
,,,,,,outcrop-1,649.1111,204.5455,59.8753,,
,,,,,,outcrop-1,666.5716,204.5455,51.8736,,
,,,,,,outcrop-1,684.1843,204.5455,44.2101,,
,,,,,,outcrop-1,701.7971,204.5455,36.5465,,
,,,,,,outcrop-1,719.4098,204.5455,28.8829,,
,,,,,,outcrop-1,737.3997,204.5455,22.162,,
,,,,,,outcrop-1,753.6619,204.5455,12.8872,,
,,,,,,outcrop-1,772.4519,204.5455,9.1062,,
,,,,,,outcrop-1,790.9395,204.5455,4.1011,,
,,,,,,outcrop-1,361.1955,181.8182,2.1637,,
,,,,,,outcrop-1,376.5714,181.8182,-1.4648,,
,,,,,,outcrop-1,382.4637,181.8182,16.6804,,
,,,,,,outcrop-1,385.6215,181.8182,35.6269,,
,,,,,,outcrop-1,388.8522,181.8182,54.5555,,
,,,,,,outcrop-1,391.0965,181.8182,73.6318,,
,,,,,,outcrop-1,393.3306,181.8182,92.7092,,
,,,,,,outcrop-1,396.3796,181.8182,111.542,,
,,,,,,outcrop-1,409.1323,181.8182,118.0009,,
,,,,,,outcrop-1,426.5597,181.8182,109.9248,,
,,,,,,outcrop-1,442.4419,181.8182,99.131,,
,,,,,,outcrop-1,458.7416,181.8182,89.0378,,
,,,,,,outcrop-1,475.7747,181.8182,80.1699,,
,,,,,,outcrop-1,492.2381,181.8182,70.2763,,
,,,,,,outcrop-1,508.3268,181.8182,59.7837,,
,,,,,,outcrop-1,523.0313,181.8182,47.5038,,
,,,,,,outcrop-1,538.7065,181.8182,49.8099,,
,,,,,,outcrop-1,547.4331,181.8182,66.8533,,
,,,,,,outcrop-1,554.4095,181.8182,84.7494,,
,,,,,,outcrop-1,563.064,181.8182,101.3269,,
,,,,,,outcrop-1,579.8204,181.8182,92.9681,,
,,,,,,outcrop-1,596.8453,181.8182,84.139,,
,,,,,,outcrop-1,614.2788,181.8182,76.076,,
,,,,,,outcrop-1,631.7003,181.8182,67.9872,,
,,,,,,outcrop-1,649.1111,181.8182,59.8753,,
,,,,,,outcrop-1,666.5716,181.8182,51.8736,,
,,,,,,outcrop-1,684.1843,181.8182,44.2101,,
,,,,,,outcrop-1,701.7971,181.8182,36.5465,,
,,,,,,outcrop-1,719.4098,181.8182,28.8829,,
,,,,,,outcrop-1,737.3997,181.8182,22.162,,
,,,,,,outcrop-1,753.6619,181.8182,12.8872,,
,,,,,,outcrop-1,772.4519,181.8182,9.1062,,
,,,,,,outcrop-1,790.9395,181.8182,4.1011,,
,,,,,,outcrop-1,361.1955,159.0909,2.1637,,
,,,,,,outcrop-1,376.5714,159.0909,-1.4648,,
,,,,,,outcrop-1,382.4637,159.0909,16.6804,,
,,,,,,outcrop-1,385.6215,159.0909,35.6269,,
,,,,,,outcrop-1,388.8522,159.0909,54.5555,,
,,,,,,outcrop-1,391.0965,159.0909,73.6318,,
,,,,,,outcrop-1,393.3306,159.0909,92.7092,,
,,,,,,outcrop-1,396.3796,159.0909,111.542,,
,,,,,,outcrop-1,409.1323,159.0909,118.0009,,
,,,,,,outcrop-1,426.5597,159.0909,109.9248,,
,,,,,,outcrop-1,442.4419,159.0909,99.131,,
,,,,,,outcrop-1,458.7416,159.0909,89.0378,,
,,,,,,outcrop-1,475.7747,159.0909,80.1699,,
,,,,,,outcrop-1,492.2381,159.0909,70.2763,,
,,,,,,outcrop-1,508.3268,159.0909,59.7837,,
,,,,,,outcrop-1,523.0313,159.0909,47.5038,,
,,,,,,outcrop-1,538.7065,159.0909,49.8099,,
,,,,,,outcrop-1,547.4331,159.0909,66.8533,,
,,,,,,outcrop-1,554.4095,159.0909,84.7494,,
,,,,,,outcrop-1,563.064,159.0909,101.3269,,
,,,,,,outcrop-1,579.8204,159.0909,92.9681,,
,,,,,,outcrop-1,596.8453,159.0909,84.139,,
,,,,,,outcrop-1,614.2788,159.0909,76.076,,
,,,,,,outcrop-1,631.7003,159.0909,67.9872,,
,,,,,,outcrop-1,649.1111,159.0909,59.8753,,
,,,,,,outcrop-1,666.5716,159.0909,51.8736,,
,,,,,,outcrop-1,684.1843,159.0909,44.2101,,
,,,,,,outcrop-1,701.7971,159.0909,36.5465,,
,,,,,,outcrop-1,719.4098,159.0909,28.8829,,
,,,,,,outcrop-1,737.3997,159.0909,22.162,,
,,,,,,outcrop-1,753.6619,159.0909,12.8872,,
,,,,,,outcrop-1,772.4519,159.0909,9.1062,,
,,,,,,outcrop-1,790.9395,159.0909,4.1011,,
,,,,,,outcrop-1,361.1955,136.3636,2.1637,,
,,,,,,outcrop-1,376.5714,136.3636,-1.4648,,
,,,,,,outcrop-1,382.4637,136.3636,16.6804,,
,,,,,,outcrop-1,385.6215,136.3636,35.6269,,
,,,,,,outcrop-1,388.8522,136.3636,54.5555,,
,,,,,,outcrop-1,391.0965,136.3636,73.6318,,
,,,,,,outcrop-1,393.3306,136.3636,92.7092,,
,,,,,,outcrop-1,396.3796,136.3636,111.542,,
,,,,,,outcrop-1,409.1323,136.3636,118.0009,,
,,,,,,outcrop-1,426.5597,136.3636,109.9248,,
,,,,,,outcrop-1,442.4419,136.3636,99.131,,
,,,,,,outcrop-1,458.7416,136.3636,89.0378,,
,,,,,,outcrop-1,475.7747,136.3636,80.1699,,
,,,,,,outcrop-1,492.2381,136.3636,70.2763,,
,,,,,,outcrop-1,508.3268,136.3636,59.7837,,
,,,,,,outcrop-1,523.0313,136.3636,47.5038,,
,,,,,,outcrop-1,538.7065,136.3636,49.8099,,
,,,,,,outcrop-1,547.4331,136.3636,66.8533,,
,,,,,,outcrop-1,554.4095,136.3636,84.7494,,
,,,,,,outcrop-1,563.064,136.3636,101.3269,,
,,,,,,outcrop-1,579.8204,136.3636,92.9681,,
,,,,,,outcrop-1,596.8453,136.3636,84.139,,
,,,,,,outcrop-1,614.2788,136.3636,76.076,,
,,,,,,outcrop-1,631.7003,136.3636,67.9872,,
,,,,,,outcrop-1,649.1111,136.3636,59.8753,,
,,,,,,outcrop-1,666.5716,136.3636,51.8736,,
,,,,,,outcrop-1,684.1843,136.3636,44.2101,,
,,,,,,outcrop-1,701.7971,136.3636,36.5465,,
,,,,,,outcrop-1,719.4098,136.3636,28.8829,,
,,,,,,outcrop-1,737.3997,136.3636,22.162,,
,,,,,,outcrop-1,753.6619,136.3636,12.8872,,
,,,,,,outcrop-1,772.4519,136.3636,9.1062,,
,,,,,,outcrop-1,790.9395,136.3636,4.1011,,
,,,,,,outcrop-1,361.1955,113.6364,2.1637,,
,,,,,,outcrop-1,376.5714,113.6364,-1.4648,,
,,,,,,outcrop-1,382.4637,113.6364,16.6804,,
,,,,,,outcrop-1,385.6215,113.6364,35.6269,,
,,,,,,outcrop-1,388.8522,113.6364,54.5555,,
,,,,,,outcrop-1,391.0965,113.6364,73.6318,,
,,,,,,outcrop-1,393.3306,113.6364,92.7092,,
,,,,,,outcrop-1,396.3796,113.6364,111.542,,
,,,,,,outcrop-1,409.1323,113.6364,118.0009,,
,,,,,,outcrop-1,426.5597,113.6364,109.9248,,
,,,,,,outcrop-1,442.4419,113.6364,99.131,,
,,,,,,outcrop-1,458.7416,113.6364,89.0378,,
,,,,,,outcrop-1,475.7747,113.6364,80.1699,,
,,,,,,outcrop-1,492.2381,113.6364,70.2763,,
,,,,,,outcrop-1,508.3268,113.6364,59.7837,,
,,,,,,outcrop-1,523.0313,113.6364,47.5038,,
,,,,,,outcrop-1,538.7065,113.6364,49.8099,,
,,,,,,outcrop-1,547.4331,113.6364,66.8533,,
,,,,,,outcrop-1,554.4095,113.6364,84.7494,,
,,,,,,outcrop-1,563.064,113.6364,101.3269,,
,,,,,,outcrop-1,579.8204,113.6364,92.9681,,
,,,,,,outcrop-1,596.8453,113.6364,84.139,,
,,,,,,outcrop-1,614.2788,113.6364,76.076,,
,,,,,,outcrop-1,631.7003,113.6364,67.9872,,
,,,,,,outcrop-1,649.1111,113.6364,59.8753,,
,,,,,,outcrop-1,666.5716,113.6364,51.8736,,
,,,,,,outcrop-1,684.1843,113.6364,44.2101,,
,,,,,,outcrop-1,701.7971,113.6364,36.5465,,
,,,,,,outcrop-1,719.4098,113.6364,28.8829,,
,,,,,,outcrop-1,737.3997,113.6364,22.162,,
,,,,,,outcrop-1,753.6619,113.6364,12.8872,,
,,,,,,outcrop-1,772.4519,113.6364,9.1062,,
,,,,,,outcrop-1,790.9395,113.6364,4.1011,,
,,,,,,outcrop-1,361.1955,90.9091,2.1637,,
,,,,,,outcrop-1,376.5714,90.9091,-1.4648,,
,,,,,,outcrop-1,382.4637,90.9091,16.6804,,
,,,,,,outcrop-1,385.6215,90.9091,35.6269,,
,,,,,,outcrop-1,388.8522,90.9091,54.5555,,
,,,,,,outcrop-1,391.0965,90.9091,73.6318,,
,,,,,,outcrop-1,393.3306,90.9091,92.7092,,
,,,,,,outcrop-1,396.3796,90.9091,111.542,,
,,,,,,outcrop-1,409.1323,90.9091,118.0009,,
,,,,,,outcrop-1,426.5597,90.9091,109.9248,,
,,,,,,outcrop-1,442.4419,90.9091,99.131,,
,,,,,,outcrop-1,458.7416,90.9091,89.0378,,
,,,,,,outcrop-1,475.7747,90.9091,80.1699,,
,,,,,,outcrop-1,492.2381,90.9091,70.2763,,
,,,,,,outcrop-1,508.3268,90.9091,59.7837,,
,,,,,,outcrop-1,523.0313,90.9091,47.5038,,
,,,,,,outcrop-1,538.7065,90.9091,49.8099,,
,,,,,,outcrop-1,547.4331,90.9091,66.8533,,
,,,,,,outcrop-1,554.4095,90.9091,84.7494,,
,,,,,,outcrop-1,563.064,90.9091,101.3269,,
,,,,,,outcrop-1,579.8204,90.9091,92.9681,,
,,,,,,outcrop-1,596.8453,90.9091,84.139,,
,,,,,,outcrop-1,614.2788,90.9091,76.076,,
,,,,,,outcrop-1,631.7003,90.9091,67.9872,,
,,,,,,outcrop-1,649.1111,90.9091,59.8753,,
,,,,,,outcrop-1,666.5716,90.9091,51.8736,,
,,,,,,outcrop-1,684.1843,90.9091,44.2101,,
,,,,,,outcrop-1,701.7971,90.9091,36.5465,,
,,,,,,outcrop-1,719.4098,90.9091,28.8829,,
,,,,,,outcrop-1,737.3997,90.9091,22.162,,
,,,,,,outcrop-1,753.6619,90.9091,12.8872,,
,,,,,,outcrop-1,772.4519,90.9091,9.1062,,
,,,,,,outcrop-1,790.9395,90.9091,4.1011,,
,,,,,,outcrop-1,361.1955,68.1818,2.1637,,
,,,,,,outcrop-1,376.5714,68.1818,-1.4648,,
,,,,,,outcrop-1,382.4637,68.1818,16.6804,,
,,,,,,outcrop-1,385.6215,68.1818,35.6269,,
,,,,,,outcrop-1,388.8522,68.1818,54.5555,,
,,,,,,outcrop-1,391.0965,68.1818,73.6318,,
,,,,,,outcrop-1,393.3306,68.1818,92.7092,,
,,,,,,outcrop-1,396.3796,68.1818,111.542,,
,,,,,,outcrop-1,409.1323,68.1818,118.0009,,
,,,,,,outcrop-1,426.5597,68.1818,109.9248,,
,,,,,,outcrop-1,442.4419,68.1818,99.131,,
,,,,,,outcrop-1,458.7416,68.1818,89.0378,,
,,,,,,outcrop-1,475.7747,68.1818,80.1699,,
,,,,,,outcrop-1,492.2381,68.1818,70.2763,,
,,,,,,outcrop-1,508.3268,68.1818,59.7837,,
,,,,,,outcrop-1,523.0313,68.1818,47.5038,,
,,,,,,outcrop-1,538.7065,68.1818,49.8099,,
,,,,,,outcrop-1,547.4331,68.1818,66.8533,,
,,,,,,outcrop-1,554.4095,68.1818,84.7494,,
,,,,,,outcrop-1,563.064,68.1818,101.3269,,
,,,,,,outcrop-1,579.8204,68.1818,92.9681,,
,,,,,,outcrop-1,596.8453,68.1818,84.139,,
,,,,,,outcrop-1,614.2788,68.1818,76.076,,
,,,,,,outcrop-1,631.7003,68.1818,67.9872,,
,,,,,,outcrop-1,649.1111,68.1818,59.8753,,
,,,,,,outcrop-1,666.5716,68.1818,51.8736,,
,,,,,,outcrop-1,684.1843,68.1818,44.2101,,
,,,,,,outcrop-1,701.7971,68.1818,36.5465,,
,,,,,,outcrop-1,719.4098,68.1818,28.8829,,
,,,,,,outcrop-1,737.3997,68.1818,22.162,,
,,,,,,outcrop-1,753.6619,68.1818,12.8872,,
,,,,,,outcrop-1,772.4519,68.1818,9.1062,,
,,,,,,outcrop-1,790.9395,68.1818,4.1011,,
,,,,,,outcrop-1,361.1955,45.4545,2.1637,,
,,,,,,outcrop-1,376.5714,45.4545,-1.4648,,
,,,,,,outcrop-1,382.4637,45.4545,16.6804,,
,,,,,,outcrop-1,385.6215,45.4545,35.6269,,
,,,,,,outcrop-1,388.8522,45.4545,54.5555,,
,,,,,,outcrop-1,391.0965,45.4545,73.6318,,
,,,,,,outcrop-1,393.3306,45.4545,92.7092,,
,,,,,,outcrop-1,396.3796,45.4545,111.542,,
,,,,,,outcrop-1,409.1323,45.4545,118.0009,,
,,,,,,outcrop-1,426.5597,45.4545,109.9248,,
,,,,,,outcrop-1,442.4419,45.4545,99.131,,
,,,,,,outcrop-1,458.7416,45.4545,89.0378,,
,,,,,,outcrop-1,475.7747,45.4545,80.1699,,
,,,,,,outcrop-1,492.2381,45.4545,70.2763,,
,,,,,,outcrop-1,508.3268,45.4545,59.7837,,
,,,,,,outcrop-1,523.0313,45.4545,47.5038,,
,,,,,,outcrop-1,538.7065,45.4545,49.8099,,
,,,,,,outcrop-1,547.4331,45.4545,66.8533,,
,,,,,,outcrop-1,554.4095,45.4545,84.7494,,
,,,,,,outcrop-1,563.064,45.4545,101.3269,,
,,,,,,outcrop-1,579.8204,45.4545,92.9681,,
,,,,,,outcrop-1,596.8453,45.4545,84.139,,
,,,,,,outcrop-1,614.2788,45.4545,76.076,,
,,,,,,outcrop-1,631.7003,45.4545,67.9872,,
,,,,,,outcrop-1,649.1111,45.4545,59.8753,,
,,,,,,outcrop-1,666.5716,45.4545,51.8736,,
,,,,,,outcrop-1,684.1843,45.4545,44.2101,,
,,,,,,outcrop-1,701.7971,45.4545,36.5465,,
,,,,,,outcrop-1,719.4098,45.4545,28.8829,,
,,,,,,outcrop-1,737.3997,45.4545,22.162,,
,,,,,,outcrop-1,753.6619,45.4545,12.8872,,
,,,,,,outcrop-1,772.4519,45.4545,9.1062,,
,,,,,,outcrop-1,790.9395,45.4545,4.1011,,
,,,,,,outcrop-1,361.1955,22.7273,2.1637,,
,,,,,,outcrop-1,376.5714,22.7273,-1.4648,,
,,,,,,outcrop-1,382.4637,22.7273,16.6804,,
,,,,,,outcrop-1,385.6215,22.7273,35.6269,,
,,,,,,outcrop-1,388.8522,22.7273,54.5555,,
,,,,,,outcrop-1,391.0965,22.7273,73.6318,,
,,,,,,outcrop-1,393.3306,22.7273,92.7092,,
,,,,,,outcrop-1,396.3796,22.7273,111.542,,
,,,,,,outcrop-1,409.1323,22.7273,118.0009,,
,,,,,,outcrop-1,426.5597,22.7273,109.9248,,
,,,,,,outcrop-1,442.4419,22.7273,99.131,,
,,,,,,outcrop-1,458.7416,22.7273,89.0378,,
,,,,,,outcrop-1,475.7747,22.7273,80.1699,,
,,,,,,outcrop-1,492.2381,22.7273,70.2763,,
,,,,,,outcrop-1,508.3268,22.7273,59.7837,,
,,,,,,outcrop-1,523.0313,22.7273,47.5038,,
,,,,,,outcrop-1,538.7065,22.7273,49.8099,,
,,,,,,outcrop-1,547.4331,22.7273,66.8533,,
,,,,,,outcrop-1,554.4095,22.7273,84.7494,,
,,,,,,outcrop-1,563.064,22.7273,101.3269,,
,,,,,,outcrop-1,579.8204,22.7273,92.9681,,
,,,,,,outcrop-1,596.8453,22.7273,84.139,,
,,,,,,outcrop-1,614.2788,22.7273,76.076,,
,,,,,,outcrop-1,631.7003,22.7273,67.9872,,
,,,,,,outcrop-1,649.1111,22.7273,59.8753,,
,,,,,,outcrop-1,666.5716,22.7273,51.8736,,
,,,,,,outcrop-1,684.1843,22.7273,44.2101,,
,,,,,,outcrop-1,701.7971,22.7273,36.5465,,
,,,,,,outcrop-1,719.4098,22.7273,28.8829,,
,,,,,,outcrop-1,737.3997,22.7273,22.162,,
,,,,,,outcrop-1,753.6619,22.7273,12.8872,,
,,,,,,outcrop-1,772.4519,22.7273,9.1062,,
,,,,,,outcrop-1,790.9395,22.7273,4.1011,,
,,,,,,outcrop-1,361.1955,-250,2.1637,,
,,,,,,outcrop-1,368.1644,-250,-3.6139,,
,,,,,,outcrop-1,371.7783,-250,-4.9691,,
,,,,,,outcrop-1,375.8439,-250,-3.1621,,
