x,y,z,Name
127.732,4,-24.5685,Tunnel_Well
127.7654,3.9392,-25.2623,Tunnel_Well
127.7978,3.7588,-25.935,Tunnel_Well
127.8282,3.4641,-26.5662,Tunnel_Well
127.8556,3.0642,-27.1367,Tunnel_Well
127.8793,2.5712,-27.6291,Tunnel_Well
127.8986,2,-28.0286,Tunnel_Well
127.9127,1.3681,-28.3229,Tunnel_Well
127.9214,0.6946,-28.5032,Tunnel_Well
127.9243,0,-28.5639,Tunnel_Well
127.9214,-0.6946,-28.5032,Tunnel_Well
127.9127,-1.3681,-28.3229,Tunnel_Well
127.8986,-2,-28.0286,Tunnel_Well
127.8793,-2.5712,-27.6291,Tunnel_Well
127.8556,-3.0642,-27.1367,Tunnel_Well
127.8282,-3.4641,-26.5662,Tunnel_Well
127.7978,-3.7588,-25.935,Tunnel_Well
127.7654,-3.9392,-25.2623,Tunnel_Well
127.732,-4,-24.5685,Tunnel_Well
127.6986,-3.9392,-23.8747,Tunnel_Well
127.6662,-3.7588,-23.202,Tunnel_Well
127.6358,-3.4641,-22.5708,Tunnel_Well
127.6083,-3.0642,-22.0003,Tunnel_Well
127.5846,-2.5712,-21.5078,Tunnel_Well
127.5654,-2,-21.1084,Tunnel_Well
127.5512,-1.3681,-20.8141,Tunnel_Well
127.5425,-0.6946,-20.6338,Tunnel_Well
127.5396,0,-20.5731,Tunnel_Well
127.5425,0.6946,-20.6338,Tunnel_Well
127.5512,1.3681,-20.8141,Tunnel_Well
127.5654,2,-21.1084,Tunnel_Well
127.5846,2.5712,-21.5078,Tunnel_Well
127.6083,3.0642,-22.0003,Tunnel_Well
127.6358,3.4641,-22.5708,Tunnel_Well
127.6662,3.7588,-23.202,Tunnel_Well
127.6986,3.9392,-23.8747,Tunnel_Well
238.2299,4,-19.2482,Tunnel_Well
238.2633,3.9392,-19.942,Tunnel_Well
238.2956,3.7588,-20.6147,Tunnel_Well
238.326,3.4641,-21.2459,Tunnel_Well
238.3535,3.0642,-21.8164,Tunnel_Well
238.3772,2.5712,-22.3088,Tunnel_Well
238.3965,2,-22.7083,Tunnel_Well
238.4106,1.3681,-23.0026,Tunnel_Well
238.4193,0.6946,-23.1829,Tunnel_Well
238.4222,0,-23.2436,Tunnel_Well
238.4193,-0.6946,-23.1829,Tunnel_Well
238.4106,-1.3681,-23.0026,Tunnel_Well
238.3965,-2,-22.7083,Tunnel_Well
238.3772,-2.5712,-22.3088,Tunnel_Well
238.3535,-3.0642,-21.8164,Tunnel_Well
238.326,-3.4641,-21.2459,Tunnel_Well
238.2956,-3.7588,-20.6147,Tunnel_Well
238.2633,-3.9392,-19.942,Tunnel_Well
238.2299,-4,-19.2482,Tunnel_Well
238.1964,-3.9392,-18.5544,Tunnel_Well
