x,y,z,Name
131.8245,4,-76.748,Tunnel_Well
131.8619,3.9392,-77.4416,Tunnel_Well
131.8981,3.7588,-78.1141,Tunnel_Well
131.9321,3.4641,-78.7451,Tunnel_Well
131.9628,3.0642,-79.3155,Tunnel_Well
131.9894,2.5712,-79.8078,Tunnel_Well
132.0109,2,-80.2071,Tunnel_Well
132.0267,1.3681,-80.5014,Tunnel_Well
132.0364,0.6946,-80.6816,Tunnel_Well
132.0397,0,-80.7422,Tunnel_Well
132.0364,-0.6946,-80.6816,Tunnel_Well
132.0267,-1.3681,-80.5014,Tunnel_Well
132.0109,-2,-80.2071,Tunnel_Well
131.9894,-2.5712,-79.8078,Tunnel_Well
131.9628,-3.0642,-79.3155,Tunnel_Well
131.9321,-3.4641,-78.7451,Tunnel_Well
131.8981,-3.7588,-78.1141,Tunnel_Well
131.8619,-3.9392,-77.4416,Tunnel_Well
131.8245,-4,-76.748,Tunnel_Well
131.7871,-3.9392,-76.0545,Tunnel_Well
131.7509,-3.7588,-75.3819,Tunnel_Well
131.7169,-3.4641,-74.7509,Tunnel_Well
131.6861,-3.0642,-74.1806,Tunnel_Well
131.6596,-2.5712,-73.6883,Tunnel_Well
131.6381,-2,-73.289,Tunnel_Well
131.6222,-1.3681,-72.9947,Tunnel_Well
131.6125,-0.6946,-72.8145,Tunnel_Well
131.6093,0,-72.7538,Tunnel_Well
131.6125,0.6946,-72.8145,Tunnel_Well
131.6222,1.3681,-72.9947,Tunnel_Well
131.6381,2,-73.289,Tunnel_Well
131.6596,2.5712,-73.6883,Tunnel_Well
131.6861,3.0642,-74.1806,Tunnel_Well
131.7169,3.4641,-74.7509,Tunnel_Well
131.7509,3.7588,-75.3819,Tunnel_Well
131.7871,3.9392,-76.0545,Tunnel_Well
233.8816,4,-71.2487,Tunnel_Well
233.9189,3.9392,-71.9423,Tunnel_Well
233.9552,3.7588,-72.6148,Tunnel_Well
233.9892,3.4641,-73.2458,Tunnel_Well
234.0199,3.0642,-73.8161,Tunnel_Well
234.0464,2.5712,-74.3085,Tunnel_Well
234.0679,2,-74.7078,Tunnel_Well
234.0838,1.3681,-75.002,Tunnel_Well
234.0935,0.6946,-75.1822,Tunnel_Well
234.0968,0,-75.2429,Tunnel_Well
234.0935,-0.6946,-75.1822,Tunnel_Well
234.0838,-1.3681,-75.002,Tunnel_Well
234.0679,-2,-74.7078,Tunnel_Well
234.0464,-2.5712,-74.3085,Tunnel_Well
234.0199,-3.0642,-73.8161,Tunnel_Well
