x,y,z,Name
260.8679,4,-152.8293,Tunnel_Well
260.1733,3.9392,-152.835,Tunnel_Well
259.4999,3.7588,-152.8404,Tunnel_Well
258.868,3.4641,-152.8456,Tunnel_Well
258.2968,3.0642,-152.8502,Tunnel_Well
257.8038,2.5712,-152.8542,Tunnel_Well
257.4039,2,-152.8574,Tunnel_Well
257.1093,1.3681,-152.8598,Tunnel_Well
256.9288,0.6946,-152.8613,Tunnel_Well
256.868,0,-152.8618,Tunnel_Well
256.9288,-0.6946,-152.8613,Tunnel_Well
257.1093,-1.3681,-152.8598,Tunnel_Well
257.4039,-2,-152.8574,Tunnel_Well
257.8038,-2.5712,-152.8542,Tunnel_Well
258.2968,-3.0642,-152.8502,Tunnel_Well
258.868,-3.4641,-152.8456,Tunnel_Well
259.4999,-3.7588,-152.8404,Tunnel_Well
260.1733,-3.9392,-152.835,Tunnel_Well
260.8679,-4,-152.8293,Tunnel_Well
261.5625,-3.9392,-152.8237,Tunnel_Well
262.2359,-3.7588,-152.8182,Tunnel_Well
262.8678,-3.4641,-152.8131,Tunnel_Well
263.439,-3.0642,-152.8084,Tunnel_Well
263.932,-2.5712,-152.8044,Tunnel_Well
264.3319,-2,-152.8012,Tunnel_Well
264.6265,-1.3681,-152.7988,Tunnel_Well
264.807,-0.6946,-152.7973,Tunnel_Well
264.8678,0,-152.7968,Tunnel_Well
264.807,0.6946,-152.7973,Tunnel_Well
264.6265,1.3681,-152.7988,Tunnel_Well
264.3319,2,-152.8012,Tunnel_Well
263.932,2.5712,-152.8044,Tunnel_Well
263.439,3.0642,-152.8084,Tunnel_Well
262.8678,3.4641,-152.8131,Tunnel_Well
262.2359,3.7588,-152.8182,Tunnel_Well
261.5625,3.9392,-152.8237,Tunnel_Well
261.7782,4,-264.9726,Tunnel_Well
261.0836,3.9392,-264.9782,Tunnel_Well
260.4101,3.7588,-264.9837,Tunnel_Well
259.7782,3.4641,-264.9888,Tunnel_Well
259.2071,3.0642,-264.9934,Tunnel_Well
258.7141,2.5712,-264.9974,Tunnel_Well
258.3142,2,-265.0007,Tunnel_Well
258.0195,1.3681,-265.0031,Tunnel_Well
257.8391,0.6946,-265.0045,Tunnel_Well
257.7783,0,-265.005,Tunnel_Well
257.8391,-0.6946,-265.0045,Tunnel_Well
258.0195,-1.3681,-265.0031,Tunnel_Well
258.3142,-2,-265.0007,Tunnel_Well
258.7141,-2.5712,-264.9974,Tunnel_Well
259.2071,-3.0642,-264.9934,Tunnel_Well
259.7782,-3.4641,-264.9888,Tunnel_Well
260.4101,-3.7588,-264.9837,Tunnel_Well
261.0836,-3.9392,-264.9782,Tunnel_Well
261.7782,-4,-264.9726,Tunnel_Well
262.4727,-3.9392,-264.9669,Tunnel_Well
263.1462,-3.7588,-264.9615,Tunnel_Well
263.7781,-3.4641,-264.9563,Tunnel_Well
264.3492,-3.0642,-264.9517,Tunnel_Well
264.8422,-2.5712,-264.9477,Tunnel_Well
265.2422,-2,-264.9444,Tunnel_Well
265.5368,-1.3681,-264.9421,Tunnel_Well
265.7173,-0.6946,-264.9406,Tunnel_Well
265.778,0,-264.9401,Tunnel_Well
265.7173,0.6946,-264.9406,Tunnel_Well
265.5368,1.3681,-264.9421,Tunnel_Well
265.2422,2,-264.9444,Tunnel_Well
264.8422,2.5712,-264.9477,Tunnel_Well
264.3492,3.0642,-264.9517,Tunnel_Well
263.7781,3.4641,-264.9563,Tunnel_Well
263.1462,3.7588,-264.9615,Tunnel_Well
262.4727,3.9392,-264.9669,Tunnel_Well
