x,y,z,Name
452.1491,4,-8.9484,Tunnel_Well
451.4558,3.9392,-8.9903,Tunnel_Well
450.7835,3.7588,-9.0309,Tunnel_Well
450.1527,3.4641,-9.069,Tunnel_Well
449.5826,3.0642,-9.1035,Tunnel_Well
449.0905,2.5712,-9.1332,Tunnel_Well
448.6913,2,-9.1573,Tunnel_Well
448.3972,1.3681,-9.1751,Tunnel_Well
448.217,0.6946,-9.186,Tunnel_Well
448.1564,0,-9.1897,Tunnel_Well
448.217,-0.6946,-9.186,Tunnel_Well
448.3972,-1.3681,-9.1751,Tunnel_Well
448.6913,-2,-9.1573,Tunnel_Well
449.0905,-2.5712,-9.1332,Tunnel_Well
449.5826,-3.0642,-9.1035,Tunnel_Well
450.1527,-3.4641,-9.069,Tunnel_Well
450.7835,-3.7588,-9.0309,Tunnel_Well
451.4558,-3.9392,-8.9903,Tunnel_Well
452.1491,-4,-8.9484,Tunnel_Well
452.8424,-3.9392,-8.9065,Tunnel_Well
453.5147,-3.7588,-8.8659,Tunnel_Well
454.1455,-3.4641,-8.8278,Tunnel_Well
454.7156,-3.0642,-8.7933,Tunnel_Well
455.2077,-2.5712,-8.7636,Tunnel_Well
455.6069,-2,-8.7395,Tunnel_Well
455.901,-1.3681,-8.7217,Tunnel_Well
456.0812,-0.6946,-8.7108,Tunnel_Well
456.1418,0,-8.7071,Tunnel_Well
456.0812,0.6946,-8.7108,Tunnel_Well
455.901,1.3681,-8.7217,Tunnel_Well
455.6069,2,-8.7395,Tunnel_Well
455.2077,2.5712,-8.7636,Tunnel_Well
454.7156,3.0642,-8.7933,Tunnel_Well
454.1455,3.4641,-8.8278,Tunnel_Well
453.5147,3.7588,-8.8659,Tunnel_Well
452.8424,3.9392,-8.9065,Tunnel_Well
455.193,4,-59.3234,Tunnel_Well
454.4997,3.9392,-59.3653,Tunnel_Well
453.8274,3.7588,-59.4059,Tunnel_Well
453.1967,3.4641,-59.444,Tunnel_Well
452.6266,3.0642,-59.4785,Tunnel_Well
452.1344,2.5712,-59.5082,Tunnel_Well
451.7352,2,-59.5324,Tunnel_Well
451.4411,1.3681,-59.5501,Tunnel_Well
451.261,0.6946,-59.561,Tunnel_Well
451.2003,0,-59.5647,Tunnel_Well
451.261,-0.6946,-59.561,Tunnel_Well
451.4411,-1.3681,-59.5501,Tunnel_Well
451.7352,-2,-59.5324,Tunnel_Well
452.1344,-2.5712,-59.5082,Tunnel_Well
452.6266,-3.0642,-59.4785,Tunnel_Well
453.1967,-3.4641,-59.444,Tunnel_Well
453.8274,-3.7588,-59.4059,Tunnel_Well
454.4997,-3.9392,-59.3653,Tunnel_Well
455.193,-4,-59.3234,Tunnel_Well
455.8864,-3.9392,-59.2815,Tunnel_Well
456.5586,-3.7588,-59.2409,Tunnel_Well
457.1894,-3.4641,-59.2028,Tunnel_Well
457.7595,-3.0642,-59.1683,Tunnel_Well
458.2516,-2.5712,-59.1386,Tunnel_Well
458.6508,-2,-59.1145,Tunnel_Well
458.945,-1.3681,-59.0967,Tunnel_Well
459.1251,-0.6946,-59.0858,Tunnel_Well
459.1858,0,-59.0822,Tunnel_Well
459.1251,0.6946,-59.0858,Tunnel_Well
458.945,1.3681,-59.0967,Tunnel_Well
458.6508,2,-59.1145,Tunnel_Well
458.2516,2.5712,-59.1386,Tunnel_Well
457.7595,3.0642,-59.1683,Tunnel_Well
457.1894,3.4641,-59.2028,Tunnel_Well
456.5586,3.7588,-59.2409,Tunnel_Well
455.8864,3.9392,-59.2815,Tunnel_Well
