x,y,z,Name,Id,Vertex Index,PType
2305.0,1500.0,-507.8656,Tunnel_Well,31,1,0
2304.924,1499.9891,-508.7338,Tunnel_Well,31,2,0
2304.6985,1499.9785,-509.5755,Tunnel_Well,31,3,0
2304.3301,1499.9686,-510.3654,Tunnel_Well,31,4,0
2303.8302,1499.9596,-511.0793,Tunnel_Well,31,5,0
2303.2139,1499.9518,-511.6955,Tunnel_Well,31,6,0
2302.5,1499.9455,-512.1954,Tunnel_Well,31,7,0
2301.7101,1499.9409,-512.5637,Tunnel_Well,31,8,0
2300.8682,1499.9381,-512.7892,Tunnel_Well,31,9,0
2300.0,1499.9371,-512.8652,Tunnel_Well,31,10,0
2299.1318,1499.9381,-512.7892,Tunnel_Well,31,11,0
2298.2899,1499.9409,-512.5637,Tunnel_Well,31,12,0
2297.5,1499.9455,-512.1954,Tunnel_Well,31,13,0
2296.7861,1499.9518,-511.6955,Tunnel_Well,31,14,0
2296.1698,1499.9596,-511.0793,Tunnel_Well,31,15,0
2295.6699,1499.9686,-510.3654,Tunnel_Well,31,16,0
2295.3015,1499.9785,-509.5755,Tunnel_Well,31,17,0
2295.076,1499.9891,-508.7338,Tunnel_Well,31,18,0
2295.0,1500.0,-507.8656,Tunnel_Well,31,19,0
2295.076,1500.0109,-506.9974,Tunnel_Well,31,20,0
2295.3015,1500.0215,-506.1556,Tunnel_Well,31,21,0
2295.6699,1500.0314,-505.3658,Tunnel_Well,31,22,0
2296.1698,1500.0404,-504.6519,Tunnel_Well,31,23,0
2296.7861,1500.0482,-504.0357,Tunnel_Well,31,24,0
2297.5,1500.0545,-503.5358,Tunnel_Well,31,25,0
2298.2899,1500.0591,-503.1675,Tunnel_Well,31,26,0
2299.1318,1500.0619,-502.9419,Tunnel_Well,31,27,0
2300.0,1500.0629,-502.866,Tunnel_Well,31,28,0
2300.8682,1500.0619,-502.9419,Tunnel_Well,31,29,0
2301.7101,1500.0591,-503.1675,Tunnel_Well,31,30,0
2302.5,1500.0545,-503.5358,Tunnel_Well,31,31,0
2303.2139,1500.0482,-504.0357,Tunnel_Well,31,32,0
2303.8302,1500.0404,-504.6519,Tunnel_Well,31,33,0
2304.3301,1500.0314,-505.3658,Tunnel_Well,31,34,0
2304.6985,1500.0215,-506.1556,Tunnel_Well,31,35,0
2304.924,1500.0109,-506.9974,Tunnel_Well,31,36,0
2305.0,1470.0024,-507.4882,Tunnel_Well,31,37,0
2304.924,1469.9915,-508.3564,Tunnel_Well,31,38,0
2304.6985,1469.9809,-509.1982,Tunnel_Well,31,39,0
2304.3301,1469.9709,-509.988,Tunnel_Well,31,40,0
2303.8302,1469.9619,-510.7019,Tunnel_Well,31,41,0
2303.2139,1469.9542,-511.3181,Tunnel_Well,31,42,0
2302.5,1469.9479,-511.818,Tunnel_Well,31,43,0
2301.7101,1469.9433,-512.1863,Tunnel_Well,31,44,0
2300.8682,1469.9404,-512.4119,Tunnel_Well,31,45,0
2300.0,1469.9395,-512.4878,Tunnel_Well,31,46,0
2299.1318,1469.9404,-512.4119,Tunnel_Well,31,47,0
2298.2899,1469.9433,-512.1863,Tunnel_Well,31,48,0
2297.5,1469.9479,-511.818,Tunnel_Well,31,49,0
2296.7861,1469.9542,-511.3181,Tunnel_Well,31,50,0
2296.1698,1469.9619,-510.7019,Tunnel_Well,31,51,0
2295.6699,1469.9709,-509.988,Tunnel_Well,31,52,0
2295.3015,1469.9809,-509.1982,Tunnel_Well,31,53,0
2295.076,1469.9915,-508.3564,Tunnel_Well,31,54,0
2295.0,1470.0024,-507.4882,Tunnel_Well,31,55,0
2295.076,1470.0133,-506.62,Tunnel_Well,31,56,0
2295.3015,1470.0239,-505.7782,Tunnel_Well,31,57,0
2295.6699,1470.0338,-504.9884,Tunnel_Well,31,58,0
2296.1698,1470.0428,-504.2745,Tunnel_Well,31,59,0
2296.7861,1470.0506,-503.6583,Tunnel_Well,31,60,0
2297.5,1470.0568,-503.1584,Tunnel_Well,31,61,0
2298.2899,1470.0615,-502.7901,Tunnel_Well,31,62,0
2299.1318,1470.0643,-502.5646,Tunnel_Well,31,63,0
2300.0,1470.0653,-502.4886,Tunnel_Well,31,64,0
2300.8682,1470.0643,-502.5646,Tunnel_Well,31,65,0
2301.7101,1470.0615,-502.7901,Tunnel_Well,31,66,0
2302.5,1470.0568,-503.1584,Tunnel_Well,31,67,0
2303.2139,1470.0506,-503.6583,Tunnel_Well,31,68,0
2303.8302,1470.0428,-504.2745,Tunnel_Well,31,69,0
2304.3301,1470.0338,-504.9884,Tunnel_Well,31,70,0
2304.6985,1470.0239,-505.7782,Tunnel_Well,31,71,0
2304.924,1470.0133,-506.62,Tunnel_Well,31,72,0
2305.0,1440.0047,-507.1108,Tunnel_Well,31,73,0
2304.924,1439.9938,-507.979,Tunnel_Well,31,74,0
2304.6985,1439.9832,-508.8208,Tunnel_Well,31,75,0
2304.3301,1439.9733,-509.6106,Tunnel_Well,31,76,0
2303.8302,1439.9643,-510.3245,Tunnel_Well,31,77,0
2303.2139,1439.9566,-510.9407,Tunnel_Well,31,78,0
2302.5,1439.9503,-511.4406,Tunnel_Well,31,79,0
2301.7101,1439.9456,-511.8089,Tunnel_Well,31,80,0
2300.8682,1439.9428,-512.0345,Tunnel_Well,31,81,0
2300.0,1439.9419,-512.1104,Tunnel_Well,31,82,0
2299.1318,1439.9428,-512.0345,Tunnel_Well,31,83,0
2298.2899,1439.9456,-511.8089,Tunnel_Well,31,84,0
2297.5,1439.9503,-511.4406,Tunnel_Well,31,85,0
2296.7861,1439.9566,-510.9407,Tunnel_Well,31,86,0
