Vertex Index,Name,Id,PType,Section,Fault Set,Horizon,x,y,z,azimuth,dip
1,Outcrop_1,32,0,Fold_11_1,,Ground_Surface,1560,-4918.8249,2.9334,,
2,Outcrop_1,32,0,Fold_11_1,,Ground_Surface,1560,-4921.049,26.2867,,
3,Outcrop_1,32,0,Fold_11_1,,Ground_Surface,1560,-4955.5229,56.3123,,
4,Outcrop_1,32,0,Fold_11_1,,Ground_Surface,1560,-5011.1258,58.5364,,
5,Outcrop_1,32,0,Fold_11_1,,Ground_Surface,1560,-5061.1685,32.959,,
6,Outcrop_1,32,0,Fold_11_1,,Ground_Surface,1560,-5107.875,-7.0751,,
7,Outcrop_1,32,0,Fold_11_1,,Ground_Surface,1560,-5013.35,-2.0708,,
8,Outcrop_1,32,0,Fold_11_1,,Ground_Surface,1560,-4918.8249,2.9334,,
1,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-4920,25.1573,,
2,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-4927.5182,31.751,,
3,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-4935.0363,38.3448,,
4,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-4942.5545,44.9385,,
5,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-4950.0726,51.5322,,
6,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-4958.7247,56.4404,,
7,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-4968.7167,56.8401,,
8,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-4978.7087,57.2397,,
9,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-4988.7007,57.6394,,
10,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-4998.6927,58.0391,,
11,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-5008.664,58.2837,,
12,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-5018.1627,55.1774,,
13,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-5027.1873,50.8696,,
14,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-5036.2119,46.5618,,
15,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-5045.2364,42.254,,
16,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-5054.2545,37.933,,
17,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-5063.0774,33.2766,,
18,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-5070.5076,26.5839,,
19,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-5077.9377,19.8911,,
20,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-5085.3679,13.1984,,
21,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-5092.798,6.5056,,
22,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-5100.2282,-0.1871,,
23,Outcrop_1,35,0,Fold_111_outcrop_2,,Outcrop_1,1540,-5107.875,-7.0751,,
1,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-4920,26.2099,,
2,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-4927.6291,32.6749,,
3,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-4935.2583,39.1399,,
4,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-4942.8874,45.6049,,
5,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-4950.5165,52.0699,,
6,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-4959.4917,56.4711,,
7,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-4969.4837,56.8707,,
8,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-4979.4758,57.2704,,
9,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-4989.4678,57.6701,,
10,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-4999.4598,58.069,,
11,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-5009.4527,58.2563,,
12,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-5018.8403,54.8117,,
13,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-5027.8457,50.4638,,
14,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-5036.851,46.1159,,
15,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-5045.8563,41.7679,,
16,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-5054.8589,37.4145,,
17,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-5063.747,32.8377,,
18,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-5071.37,26.3654,,
19,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-5078.9929,19.8931,,
20,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-5086.6159,13.4208,,
21,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-5094.2388,6.9485,,
22,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-5101.8618,0.4762,,
23,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-5109.4847,-5.9961,,
24,Outcrop_1,37,0,Fold_111_outcrop,,Outcrop_1,1580,-5111.3476,-7.5778,,
1,Outcrop_1,160,0,,,Outcrop_1,1580,-4920,26.2099,,
2,Outcrop_1,160,0,,,Outcrop_1,1580,-4927.6291,32.6749,,
3,Outcrop_1,160,0,,,Outcrop_1,1580,-4935.2583,39.1399,,
4,Outcrop_1,160,0,,,Outcrop_1,1580,-4942.8874,45.6049,,
5,Outcrop_1,160,0,,,Outcrop_1,1580,-4950.5165,52.0699,,
6,Outcrop_1,160,0,,,Outcrop_1,1580,-4959.4917,56.4711,,
