Vertex Index,Name,Id,PType,Section,Fault Set,Horizon,x,y,z,azimuth,dip
1,Tunnel_Well_4,46,0,,,,1576.6208,-5086.6446,-152.4471,,
2,Tunnel_Well_4,46,0,,,,1576.3683,-5086.5937,-155.3329,,
3,Tunnel_Well_4,46,0,,,,1575.6184,-5086.5445,-158.1309,,
4,Tunnel_Well_4,46,0,,,,1574.394,-5086.4983,-160.7562,,
5,Tunnel_Well_4,46,0,,,,1572.7322,-5086.4565,-163.1291,,
6,Tunnel_Well_4,46,0,,,,1570.6836,-5086.4204,-165.1774,,
7,Tunnel_Well_4,46,0,,,,1568.3104,-5086.3912,-166.8389,,
8,Tunnel_Well_4,46,0,,,,1565.6846,-5086.3696,-168.0631,,
9,Tunnel_Well_4,46,0,,,,1562.8862,-5086.3564,-168.8129,,
10,Tunnel_Well_4,46,0,,,,1560,-5086.352,-169.0653,,
11,Tunnel_Well_4,46,0,,,,1557.1138,-5086.3564,-168.8129,,
12,Tunnel_Well_4,46,0,,,,1554.3154,-5086.3696,-168.0631,,
13,Tunnel_Well_4,46,0,,,,1551.6896,-5086.3912,-166.8389,,
14,Tunnel_Well_4,46,0,,,,1549.3164,-5086.4204,-165.1774,,
15,Tunnel_Well_4,46,0,,,,1547.2678,-5086.4565,-163.1291,,
16,Tunnel_Well_4,46,0,,,,1545.606,-5086.4983,-160.7562,,
17,Tunnel_Well_4,46,0,,,,1544.3816,-5086.5445,-158.1309,,
18,Tunnel_Well_4,46,0,,,,1543.6317,-5086.5937,-155.3329,,
19,Tunnel_Well_4,46,0,,,,1543.3792,-5086.6446,-152.4471,,
20,Tunnel_Well_4,46,0,,,,1543.6317,-5086.6954,-149.5614,,
21,Tunnel_Well_4,46,0,,,,1544.3816,-5086.7446,-146.7634,,
22,Tunnel_Well_4,46,0,,,,1545.606,-5086.7909,-144.138,,
23,Tunnel_Well_4,46,0,,,,1547.2678,-5086.8326,-141.7652,,
24,Tunnel_Well_4,46,0,,,,1549.3164,-5086.8687,-139.7169,,
25,Tunnel_Well_4,46,0,,,,1551.6896,-5086.898,-138.0554,,
26,Tunnel_Well_4,46,0,,,,1554.3154,-5086.9195,-136.8311,,
27,Tunnel_Well_4,46,0,,,,1557.1138,-5086.9327,-136.0814,,
28,Tunnel_Well_4,46,0,,,,1560,-5086.9372,-135.8289,,
29,Tunnel_Well_4,46,0,,,,1562.8862,-5086.9327,-136.0814,,
30,Tunnel_Well_4,46,0,,,,1565.6846,-5086.9195,-136.8311,,
31,Tunnel_Well_4,46,0,,,,1568.3104,-5086.898,-138.0554,,
32,Tunnel_Well_4,46,0,,,,1570.6836,-5086.8687,-139.7169,,
33,Tunnel_Well_4,46,0,,,,1572.7322,-5086.8326,-141.7652,,
34,Tunnel_Well_4,46,0,,,,1574.394,-5086.7909,-144.138,,
35,Tunnel_Well_4,46,0,,,,1575.6184,-5086.7446,-146.7634,,
36,Tunnel_Well_4,46,0,,,,1576.3683,-5086.6954,-149.5614,,
37,Tunnel_Well_4,46,0,,,,1576.6208,-5191.7638,-154.298,,
38,Tunnel_Well_4,46,0,,,,1576.3683,-5191.713,-157.1838,,
39,Tunnel_Well_4,46,0,,,,1575.6184,-5191.6637,-159.9818,,
40,Tunnel_Well_4,46,0,,,,1574.394,-5191.6175,-162.6071,,
41,Tunnel_Well_4,46,0,,,,1572.7322,-5191.5757,-164.98,,
42,Tunnel_Well_4,46,0,,,,1570.6836,-5191.5396,-167.0283,,
43,Tunnel_Well_4,46,0,,,,1568.3104,-5191.5104,-168.6898,,
44,Tunnel_Well_4,46,0,,,,1565.6846,-5191.4888,-169.914,,
45,Tunnel_Well_4,46,0,,,,1562.8862,-5191.4756,-170.6638,,
46,Tunnel_Well_4,46,0,,,,1560,-5191.4712,-170.9162,,
47,Tunnel_Well_4,46,0,,,,1557.1138,-5191.4756,-170.6638,,
48,Tunnel_Well_4,46,0,,,,1554.3154,-5191.4888,-169.914,,
49,Tunnel_Well_4,46,0,,,,1551.6896,-5191.5104,-168.6898,,
50,Tunnel_Well_4,46,0,,,,1549.3164,-5191.5396,-167.0283,,
51,Tunnel_Well_4,46,0,,,,1547.2678,-5191.5757,-164.98,,
52,Tunnel_Well_4,46,0,,,,1545.606,-5191.6175,-162.6071,,
53,Tunnel_Well_4,46,0,,,,1544.3816,-5191.6637,-159.9818,,
54,Tunnel_Well_4,46,0,,,,1543.6317,-5191.713,-157.1838,,
55,Tunnel_Well_4,46,0,,,,1543.3792,-5191.7638,-154.298,,
56,Tunnel_Well_4,46,0,,,,1543.6317,-5191.8146,-151.4123,,
57,Tunnel_Well_4,46,0,,,,1544.3816,-5191.8639,-148.6143,,
58,Tunnel_Well_4,46,0,,,,1545.606,-5191.9101,-145.9889,,
59,Tunnel_Well_4,46,0,,,,1547.2678,-5191.9519,-143.6161,,
60,Tunnel_Well_4,46,0,,,,1549.3164,-5191.9879,-141.5678,,
61,Tunnel_Well_4,46,0,,,,1551.6896,-5192.0172,-139.9063,,
62,Tunnel_Well_4,46,0,,,,1554.3154,-5192.0387,-138.682,,
63,Tunnel_Well_4,46,0,,,,1557.1138,-5192.0519,-137.9323,,
64,Tunnel_Well_4,46,0,,,,1560,-5192.0564,-137.6798,,
65,Tunnel_Well_4,46,0,,,,1562.8862,-5192.0519,-137.9323,,
66,Tunnel_Well_4,46,0,,,,1565.6846,-5192.0387,-138.682,,
67,Tunnel_Well_4,46,0,,,,1568.3104,-5192.0172,-139.9063,,
68,Tunnel_Well_4,46,0,,,,1570.6836,-5191.9879,-141.5678,,
69,Tunnel_Well_4,46,0,,,,1572.7322,-5191.9519,-143.6161,,
70,Tunnel_Well_4,46,0,,,,1574.394,-5191.9101,-145.9889,,
71,Tunnel_Well_4,46,0,,,,1575.6184,-5191.8639,-148.6143,,
72,Tunnel_Well_4,46,0,,,,1576.3683,-5191.8146,-151.4123,,
73,Tunnel_Well_4,46,0,,,,1576.6208,-5296.883,-156.1489,,
74,Tunnel_Well_4,46,0,,,,1576.3683,-5296.8322,-159.0347,,
75,Tunnel_Well_4,46,0,,,,1575.6184,-5296.7829,-161.8327,,
76,Tunnel_Well_4,46,0,,,,1574.394,-5296.7367,-164.458,,
77,Tunnel_Well_4,46,0,,,,1572.7322,-5296.6949,-166.8309,,
78,Tunnel_Well_4,46,0,,,,1570.6836,-5296.6589,-168.8792,,
