Unnamed: 0,x,y,z,Name,Id,Vertex Index,PType,Answers
8952,610.7143,3699.4297,254.6734,Horizon_01,298,8953,0,1.0
8953,614.2857,3699.4297,254.6734,Horizon_01,298,8954,0,1.0
8954,617.8571,3699.4297,254.6734,Horizon_01,298,8955,0,1.0
8955,621.4286,3699.4297,254.6734,Horizon_01,298,8956,0,1.0
8956,625.0,3699.4297,254.6734,Horizon_01,298,8957,0,1.0
8957,628.5714,3699.4297,254.6734,Horizon_01,298,8958,0,1.0
8958,632.1429,3699.4297,254.6734,Horizon_01,298,8959,0,1.0
8959,635.7143,3699.4297,254.6734,Horizon_01,298,8960,0,1.0
8960,639.2857,3699.4297,254.6734,Horizon_01,298,8961,0,1.0
8961,642.8571,3699.4297,254.6734,Horizon_01,298,8962,0,1.0
8962,646.4286,3699.4297,254.6734,Horizon_01,298,8963,0,1.0
8963,650.0,3699.4297,254.6734,Horizon_01,298,8964,0,1.0
8964,653.5714,3699.4297,254.6734,Horizon_01,298,8965,0,1.0
8965,657.1429,3699.4297,254.6734,Horizon_01,298,8966,0,1.0
8966,660.7143,3699.4297,254.6734,Horizon_01,298,8967,0,1.0
8967,664.2857,3699.4297,254.6734,Horizon_01,298,8968,0,1.0
8968,667.8571,3699.4297,254.6734,Horizon_01,298,8969,0,1.0
8969,671.4286,3699.4297,254.6734,Horizon_01,298,8970,0,1.0
8970,675.0,3699.4297,254.6734,Horizon_01,298,8971,0,1.0
8971,678.5714,3699.4297,254.6734,Horizon_01,298,8972,0,1.0
8972,682.1429,3699.4297,254.6734,Horizon_01,298,8973,0,1.0
8973,685.7143,3699.4297,254.6734,Horizon_01,298,8974,0,1.0
8974,689.2857,3699.4297,254.6734,Horizon_01,298,8975,0,1.0
8975,692.8571,3699.4297,254.6734,Horizon_01,298,8976,0,1.0
8976,696.4286,3699.4297,254.6734,Horizon_01,298,8977,0,1.0
8977,700.0,3699.4297,254.6734,Horizon_01,298,8978,0,1.0
8978,703.5714,3699.4297,254.6734,Horizon_01,298,8979,0,1.0
8979,707.1429,3699.4297,254.6734,Horizon_01,298,8980,0,1.0
8980,710.7143,3699.4297,254.6734,Horizon_01,298,8981,0,1.0
8981,714.2857,3699.4297,254.6734,Horizon_01,298,8982,0,1.0
8982,717.8571,3699.4297,254.6734,Horizon_01,298,8983,0,1.0
8983,721.4286,3699.4297,254.6734,Horizon_01,298,8984,0,1.0
8984,725.0,3699.4297,254.6734,Horizon_01,298,8985,0,1.0
8985,728.5714,3699.4297,254.6734,Horizon_01,298,8986,0,1.0
8986,732.1429,3699.4297,254.6734,Horizon_01,298,8987,0,1.0
8987,735.7143,3699.4297,254.6734,Horizon_01,298,8988,0,1.0
8988,739.2857,3699.4297,254.6734,Horizon_01,298,8989,0,1.0
8989,742.8571,3699.4297,254.6734,Horizon_01,298,8990,0,1.0
8990,746.4286,3699.4297,254.6734,Horizon_01,298,8991,0,1.0
8991,750.0,3699.4297,254.6734,Horizon_01,298,8992,0,1.0
8992,753.5714,3699.4297,254.6734,Horizon_01,298,8993,0,1.0
8993,757.1429,3699.4297,254.6734,Horizon_01,298,8994,0,1.0
8994,760.7143,3699.4297,254.6734,Horizon_01,298,8995,0,1.0
8995,764.2857,3699.4297,254.6734,Horizon_01,298,8996,0,1.0
8996,767.8571,3699.4297,254.6734,Horizon_01,298,8997,0,1.0
8997,771.4286,3699.4297,254.6734,Horizon_01,298,8998,0,1.0
8998,775.0,3699.4297,254.6734,Horizon_01,298,8999,0,1.0
8999,778.5714,3699.4297,254.6734,Horizon_01,298,9000,0,1.0
9000,782.1429,3699.4297,254.6734,Horizon_01,298,9001,0,1.0
9001,785.7143,3699.4297,254.6734,Horizon_01,298,9002,0,1.0
9002,789.2857,3699.4297,254.6734,Horizon_01,298,9003,0,1.0
9003,792.8571,3699.4297,254.6734,Horizon_01,298,9004,0,1.0
9004,796.4286,3699.4297,254.6734,Horizon_01,298,9005,0,1.0
9005,800.0,3699.4297,254.6734,Horizon_01,298,9006,0,1.0
9006,600.0,3697.5575,257.6101,Horizon_01,298,9007,0,1.0
9007,603.5714,3697.5575,257.6101,Horizon_01,298,9008,0,1.0
9008,607.1429,3697.5575,257.6101,Horizon_01,298,9009,0,1.0
9009,610.7143,3697.5575,257.6101,Horizon_01,298,9010,0,1.0
9010,614.2857,3697.5575,257.6101,Horizon_01,298,9011,0,1.0
9011,617.8571,3697.5575,257.6101,Horizon_01,298,9012,0,1.0
9012,621.4286,3697.5575,257.6101,Horizon_01,298,9013,0,1.0
9013,625.0,3697.5575,257.6101,Horizon_01,298,9014,0,1.0
9014,628.5714,3697.5575,257.6101,Horizon_01,298,9015,0,1.0
9015,632.1429,3697.5575,257.6101,Horizon_01,298,9016,0,1.0
9016,635.7143,3697.5575,257.6101,Horizon_01,298,9017,0,1.0
9017,639.2857,3697.5575,257.6101,Horizon_01,298,9018,0,1.0
9018,642.8571,3697.5575,257.6101,Horizon_01,298,9019,0,1.0
9019,646.4286,3697.5575,257.6101,Horizon_01,298,9020,0,1.0
9020,650.0,3697.5575,257.6101,Horizon_01,298,9021,0,1.0
9021,653.5714,3697.5575,257.6101,Horizon_01,298,9022,0,1.0
9022,657.1429,3697.5575,257.6101,Horizon_01,298,9023,0,1.0
9023,660.7143,3697.5575,257.6101,Horizon_01,298,9024,0,1.0
9024,664.2857,3697.5575,257.6101,Horizon_01,298,9025,0,1.0
9025,667.8571,3697.5575,257.6101,Horizon_01,298,9026,0,1.0
9026,671.4286,3697.5575,257.6101,Horizon_01,298,9027,0,1.0
9027,675.0,3697.5575,257.6101,Horizon_01,298,9028,0,1.0
9028,678.5714,3697.5575,257.6101,Horizon_01,298,9029,0,1.0
9029,682.1429,3697.5575,257.6101,Horizon_01,298,9030,0,1.0
9030,685.7143,3697.5575,257.6101,Horizon_01,298,9031,0,1.0
9031,689.2857,3697.5575,257.6101,Horizon_01,298,9032,0,1.0
9032,692.8571,3697.5575,257.6101,Horizon_01,298,9033,0,1.0
9033,696.4286,3697.5575,257.6101,Horizon_01,298,9034,0,1.0
9034,700.0,3697.5575,257.6101,Horizon_01,298,9035,0,1.0
9035,703.5714,3697.5575,257.6101,Horizon_01,298,9036,0,1.0
9036,707.1429,3697.5575,257.6101,Horizon_01,298,9037,0,1.0
9037,710.7143,3697.5575,257.6101,Horizon_01,298,9038,0,1.0
9038,714.2857,3697.5575,257.6101,Horizon_01,298,9039,0,1.0
9039,717.8571,3697.5575,257.6101,Horizon_01,298,9040,0,1.0
9040,721.4286,3697.5575,257.6101,Horizon_01,298,9041,0,1.0
9041,725.0,3697.5575,257.6101,Horizon_01,298,9042,0,1.0
9042,728.5714,3697.5575,257.6101,Horizon_01,298,9043,0,1.0
9043,732.1429,3697.5575,257.6101,Horizon_01,298,9044,0,1.0
9044,735.7143,3697.5575,257.6101,Horizon_01,298,9045,0,1.0
9045,739.2857,3697.5575,257.6101,Horizon_01,298,9046,0,1.0
9046,742.8571,3697.5575,257.6101,Horizon_01,298,9047,0,1.0
9047,746.4286,3697.5575,257.6101,Horizon_01,298,9048,0,1.0
9048,750.0,3697.5575,257.6101,Horizon_01,298,9049,0,1.0
9049,753.5714,3697.5575,257.6101,Horizon_01,298,9050,0,1.0
9050,757.1429,3697.5575,257.6101,Horizon_01,298,9051,0,1.0
9051,760.7143,3697.5575,257.6101,Horizon_01,298,9052,0,1.0
9052,764.2857,3697.5575,257.6101,Horizon_01,298,9053,0,1.0
9053,767.8571,3697.5575,257.6101,Horizon_01,298,9054,0,1.0
9054,771.4286,3697.5575,257.6101,Horizon_01,298,9055,0,1.0
9055,775.0,3697.5575,257.6101,Horizon_01,298,9056,0,1.0
9056,778.5714,3697.5575,257.6101,Horizon_01,298,9057,0,1.0
9057,782.1429,3697.5575,257.6101,Horizon_01,298,9058,0,1.0
9058,785.7143,3697.5575,257.6101,Horizon_01,298,9059,0,1.0
9059,789.2857,3697.5575,257.6101,Horizon_01,298,9060,0,1.0
9060,792.8571,3697.5575,257.6101,Horizon_01,298,9061,0,1.0
9061,796.4286,3697.5575,257.6101,Horizon_01,298,9062,0,1.0
9062,800.0,3697.5575,257.6101,Horizon_01,298,9063,0,1.0
9063,600.0,3695.6854,260.5468,Horizon_01,298,9064,0,1.0
9064,603.5714,3695.6854,260.5468,Horizon_01,298,9065,0,1.0
9065,607.1429,3695.6854,260.5468,Horizon_01,298,9066,0,1.0
9066,610.7143,3695.6854,260.5468,Horizon_01,298,9067,0,1.0
9067,614.2857,3695.6854,260.5468,Horizon_01,298,9068,0,1.0
9068,617.8571,3695.6854,260.5468,Horizon_01,298,9069,0,1.0
9069,621.4286,3695.6854,260.5468,Horizon_01,298,9070,0,1.0
9070,625.0,3695.6854,260.5468,Horizon_01,298,9071,0,1.0
9071,628.5714,3695.6854,260.5468,Horizon_01,298,9072,0,1.0
9072,632.1429,3695.6854,260.5468,Horizon_01,298,9073,0,1.0
9073,635.7143,3695.6854,260.5468,Horizon_01,298,9074,0,1.0
9074,639.2857,3695.6854,260.5468,Horizon_01,298,9075,0,1.0
9075,642.8571,3695.6854,260.5468,Horizon_01,298,9076,0,1.0
9076,646.4286,3695.6854,260.5468,Horizon_01,298,9077,0,1.0
9077,650.0,3695.6854,260.5468,Horizon_01,298,9078,0,1.0
9078,653.5714,3695.6854,260.5468,Horizon_01,298,9079,0,1.0
9079,657.1429,3695.6854,260.5468,Horizon_01,298,9080,0,1.0
9080,660.7143,3695.6854,260.5468,Horizon_01,298,9081,0,1.0
9081,664.2857,3695.6854,260.5468,Horizon_01,298,9082,0,1.0
9082,667.8571,3695.6854,260.5468,Horizon_01,298,9083,0,1.0
9083,671.4286,3695.6854,260.5468,Horizon_01,298,9084,0,1.0
9084,675.0,3695.6854,260.5468,Horizon_01,298,9085,0,1.0
9085,678.5714,3695.6854,260.5468,Horizon_01,298,9086,0,1.0
9086,682.1429,3695.6854,260.5468,Horizon_01,298,9087,0,1.0
